shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.DMDModulationTime,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.PhysicsSplitFieldRampDelayTime,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.isImageExpandedCheckerboard,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalLatticeVariables2.DMDModulationOffset,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.IsRoundTripReloading,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalLatticeVariables2.Dmd1PatternFilename,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.UnloadLatticeRampTime,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalLatticeVariables2.IsImageBIFormation,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalLatticeVariables2.ImagingLatticeFreezeTime,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,LocalVariables.ShotTypeID,GlobalLatticeVariables2.UnloadLatticeXPower,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalLatticeVariables2.DMDModulationAmplitude,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,LocalVariables.ScanID4,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.DMDModulationPreHoldTime,GlobalLatticeVariables2.CleanupBandInsulatorWaitTime,LocalVariables.ScanID3,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalLatticeVariables2.NematicLatticeModulationFrequency,GlobalMotVariables2.MotDetuningCompressed,GlobalLatticeVariables2.UnloadLatticeYPower,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalImagingVariables2.SpinBlowNorthwestPower,LocalVariables.XbarFrequency,LocalVariables.ScanID2,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,LocalVariables.DMDID,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.IsDMDLatticeModulation,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.Dmd1ModPattern,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.DMDModulationFrequency,LocalVariables.ScanID5,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,LocalVariables.DMDID2,GlobalLatticeVariables2.ReloadLatticeRampTime,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.LatticeFreezeRampTime
0,0,2025/10/05 01:42:31,0.03,932600000.0,0.0,0.0,0.03,0.0,4.9999999999999996e-06,0.032,0.1634945,0.0,100000.0,0.2,500.0,620000000.0,0.018000000000000002,228200000.0,0,0.035,0.3,0.0,0.002,0,9.999999999999999e-06,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.01,0.48,0,0.0,0.78,0.03,300000000.0,0.02,1.3,0.0,0.00025,0.0225,0.001,0.1,0.0,0.01125,450000000.0,1.0,0.0,-1.4999999999999999e-05,0.0,590.0,0.0,0.03,0.0,1.0,0.02,200.0,-6000000.0,0.007,0.975,550.0,1.5,773000000.0,0.875,0.05,0.0,10.0,0.005,0.0225,0,0,0.0225,0.03,2.5,b'251001_dmd0_iterative_compensation_pinning_4n.pkl',93.0,0.014,0.0,0.174746,200.0,0.0,0.0,854000000.0,0.0,0.0,0.1,0.0,0.0,2.9999999999999997e-05
1,1,2025/10/05 01:42:46,0.03,1088300000.0,0.0,0.0,0.03,0.0,9.999999999999999e-06,0.032,0.1634945,0.0,100000.0,0.2,610.0,620000000.0,0.018000000000000002,83506780.0,0,0.035,0.3,0.0,0.002,0,9.999999999999999e-06,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.0,0.01,0.48,0,0.0,0.78,0.03,766000000.0,0.02,1.3,1.0,0.00025,0.0225,0.04,0.1,0.7,0.01125,605500000.0,1.0,0.0,-1.4999999999999999e-05,0.0,590.0,0.0,0.03,0.0,1.0,0.02,200.0,-6000000.0,0.007,0.975,550.0,1.5,773000000.0,0.875,0.05,0.0,10.0,0.005,0.0225,0,0,0.0225,0.03,2.5,b'251001_dmd0_iterative_compensation_pinning_4n.pkl',93.0,0.014,0.0,0.174746,200.0,0.0,0.0,1010900000.0,0.0,0.0,0.1,0.0,0.0,2.9999999999999997e-05
2,2,2025/10/05 01:43:02,0.03,932600000.0,0.0,0.0,0.03,0.0,4.9999999999999996e-06,0.032,0.1634945,0.0,100000.0,0.2,500.0,620000000.0,0.018000000000000002,228200000.0,0,0.035,0.3,0.0,0.002,0,9.999999999999999e-06,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.01,0.48,0,0.0,0.78,0.03,300000000.0,0.02,1.3,2.0,0.00025,0.0225,0.001,0.1,0.0,0.01125,450000000.0,1.0,0.0,-1.4999999999999999e-05,0.0,590.0,0.0,0.03,0.0,1.0,0.02,200.0,-6000000.0,0.007,0.975,550.0,1.5,773000000.0,0.875,0.05,0.0,10.0,0.005,0.0225,0,0,0.0225,0.03,2.5,b'251001_dmd0_iterative_compensation_pinning_4p.pkl',93.0,0.014,0.0,0.174746,200.0,0.0,0.0,854000000.0,0.0,0.0,0.1,0.0,0.0,2.9999999999999997e-05
3,3,2025/10/05 01:43:18,0.03,1088300000.0,0.0,0.0,0.03,0.0,9.999999999999999e-06,0.032,0.1634945,0.0,100000.0,0.2,610.0,620000000.0,0.018000000000000002,83506780.0,0,0.035,0.3,0.0,0.002,0,9.999999999999999e-06,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.0,0.01,0.48,0,0.0,0.78,0.03,766000000.0,0.02,1.3,3.0,0.00025,0.0225,0.04,0.1,0.7,0.01125,605500000.0,1.0,0.0,-1.4999999999999999e-05,0.0,590.0,0.0,0.03,0.0,1.0,0.02,200.0,-6000000.0,0.007,0.975,550.0,1.5,773000000.0,0.875,0.05,0.0,10.0,0.005,0.0225,0,0,0.0225,0.03,2.5,b'251001_dmd0_iterative_compensation_pinning_4p.pkl',93.0,0.014,0.0,0.174746,200.0,0.0,0.0,1010900000.0,0.0,0.0,0.1,0.0,0.0,2.9999999999999997e-05
4,4,2025/10/05 01:43:34,0.03,932600000.0,0.0,0.0,0.03,0.0,4.9999999999999996e-06,0.032,0.1634945,0.0,100000.0,0.2,500.0,620000000.0,0.018000000000000002,228200000.0,0,0.035,0.3,0.0,0.002,0,9.999999999999999e-06,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.01,0.48,0,0.0,0.78,0.03,300000000.0,0.02,1.3,4.0,0.00025,0.0225,0.001,0.1,0.0,0.01125,450000000.0,1.0,0.0,-1.4999999999999999e-05,0.0,590.0,0.0,0.03,0.0,1.0,0.02,200.0,-6000000.0,0.007,0.975,550.0,1.5,773000000.0,0.875,0.05,0.0,10.0,0.005,0.0225,0,0,0.0225,0.03,2.5,b'251001_dmd0_iterative_compensation_pinning_6n.pkl',93.0,0.014,0.0,0.174746,200.0,0.0,0.0,854000000.0,0.0,0.0,0.1,0.0,0.0,2.9999999999999997e-05
5,5,2025/10/05 01:43:49,0.03,1088300000.0,0.0,0.0,0.03,0.0,9.999999999999999e-06,0.032,0.1634945,0.0,100000.0,0.2,610.0,620000000.0,0.018000000000000002,83506780.0,0,0.035,0.3,0.0,0.002,0,9.999999999999999e-06,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.0,0.01,0.48,0,0.0,0.78,0.03,766000000.0,0.02,1.3,5.0,0.00025,0.0225,0.04,0.1,0.7,0.01125,605500000.0,1.0,0.0,-1.4999999999999999e-05,0.0,590.0,0.0,0.03,0.0,1.0,0.02,200.0,-6000000.0,0.007,0.975,550.0,1.5,773000000.0,0.875,0.05,0.0,10.0,0.005,0.0225,0,0,0.0225,0.03,2.5,b'251001_dmd0_iterative_compensation_pinning_6n.pkl',93.0,0.014,0.0,0.174746,200.0,0.0,0.0,1010900000.0,0.0,0.0,0.1,0.0,0.0,2.9999999999999997e-05
6,6,2025/10/05 01:44:05,0.03,932600000.0,0.0,0.0,0.03,0.0,4.9999999999999996e-06,0.032,0.1634945,0.0,100000.0,0.2,500.0,620000000.0,0.018000000000000002,228200000.0,0,0.035,0.3,0.0,0.002,0,9.999999999999999e-06,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.01,0.48,0,0.0,0.78,0.03,300000000.0,0.02,1.3,6.0,0.00025,0.0225,0.001,0.1,0.0,0.01125,450000000.0,1.0,0.0,-1.4999999999999999e-05,0.0,590.0,0.0,0.03,0.0,1.0,0.02,200.0,-6000000.0,0.007,0.975,550.0,1.5,773000000.0,0.875,0.05,0.0,10.0,0.005,0.0225,0,0,0.0225,0.03,2.5,b'251001_dmd0_iterative_compensation_pinning_6p.pkl',93.0,0.014,0.0,0.174746,200.0,0.0,0.0,854000000.0,0.0,0.0,0.1,0.0,0.0,2.9999999999999997e-05
7,7,2025/10/05 01:44:21,0.03,1088300000.0,0.0,0.0,0.03,0.0,9.999999999999999e-06,0.032,0.1634945,0.0,100000.0,0.2,610.0,620000000.0,0.018000000000000002,83506780.0,0,0.035,0.3,0.0,0.002,0,9.999999999999999e-06,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.0,0.01,0.48,0,0.0,0.78,0.03,766000000.0,0.02,1.3,7.0,0.00025,0.0225,0.04,0.1,0.7,0.01125,605500000.0,1.0,0.0,-1.4999999999999999e-05,0.0,590.0,0.0,0.03,0.0,1.0,0.02,200.0,-6000000.0,0.007,0.975,550.0,1.5,773000000.0,0.875,0.05,0.0,10.0,0.005,0.0225,0,0,0.0225,0.03,2.5,b'251001_dmd0_iterative_compensation_pinning_6p.pkl',93.0,0.014,0.0,0.174746,200.0,0.0,0.0,1010900000.0,0.0,0.0,0.1,0.0,0.0,2.9999999999999997e-05
8,8,2025/10/05 01:44:37,0.03,932600000.0,0.0,0.0,0.03,0.0,4.9999999999999996e-06,0.032,0.1634945,0.0,100000.0,0.2,500.0,620000000.0,0.018000000000000002,228200000.0,0,0.035,0.3,0.0,0.002,0,9.999999999999999e-06,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.0,0.01,0.48,0,0.0,0.78,0.03,300000000.0,0.02,1.3,8.0,0.00025,0.0225,0.001,0.1,0.0,0.01125,450000000.0,1.0,0.0,-1.4999999999999999e-05,0.0,590.0,0.0,0.03,0.0,1.0,0.02,200.0,-6000000.0,0.007,0.975,550.0,1.5,773000000.0,0.875,0.05,0.0,10.0,0.005,0.0225,0,0,0.0225,0.03,2.5,b'251001_dmd0_iterative_compensation_pinning_8n.pkl',93.0,0.014,0.0,0.174746,200.0,0.0,0.0,854000000.0,0.0,0.0,0.1,0.0,0.0,2.9999999999999997e-05
9,9,2025/10/05 01:44:52,0.03,1088300000.0,0.0,0.0,0.03,0.0,9.999999999999999e-06,0.032,0.1634945,0.0,100000.0,0.2,610.0,620000000.0,0.018000000000000002,83506780.0,0,0.035,0.3,0.0,0.002,0,9.999999999999999e-06,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',1.0,0.01,0.48,0,0.0,0.78,0.03,766000000.0,0.02,1.3,9.0,0.00025,0.0225,0.04,0.1,0.7,0.01125,605500000.0,1.0,0.0,-1.4999999999999999e-05,0.0,590.0,0.0,0.03,0.0,1.0,0.02,200.0,-6000000.0,0.007,0.975,550.0,1.5,773000000.0,0.875,0.05,0.0,10.0,0.005,0.0225,0,0,0.0225,0.03,2.5,b'251001_dmd0_iterative_compensation_pinning_8n.pkl',93.0,0.014,0.0,0.174746,200.0,0.0,0.0,1010900000.0,0.0,0.0,0.1,0.0,0.0,2.9999999999999997e-05
