shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.UnloadLatticeXPower,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalLatticeVariables2.IsDMDLatticeModulation,GlobalLatticeVariables2.DMDModulationAmplitude,GlobalLatticeVariables2.DMDModulationTime,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,LocalVariables.DMDID2,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.DMDModulationFrequency,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.isImageExpandedCheckerboard,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,LocalVariables.ScanID2,GlobalLatticeVariables2.IsImageBIFormation,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalLatticeVariables2.PhysicsSplitFieldRampDelayTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalLatticeVariables2.Dmd1PatternFilename,LocalVariables.XbarFrequency,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalLatticeVariables2.ReloadLatticeRampTime,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalLatticeVariables2.CleanupBandInsulatorWaitTime,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,LocalVariables.ScanID3,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.NematicLatticeModulationFrequency,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalMotVariables2.MotDetuningCompressed,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.UnloadLatticeRampTime,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.ImagingLatticeFreezeTime,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalLatticeVariables2.LoadWithDmd1InitialPower,LocalVariables.ScanID5,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.UnloadLatticeYPower,LocalVariables.DMDID,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,LocalVariables.ShotTypeID,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalLatticeVariables2.DMDModulationPreHoldTime,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.Dmd1ModPattern,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,LocalVariables.ScanID4,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.IsRoundTripReloading,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalLatticeVariables2.DMDModulationOffset,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth
0,0,2025/10/05 20:46:14,0.1,0.00025,0.0,0,0.0,0.03,0.174746,0.03,0.0,0.0,0.03,450000000.0,0.78,932600000.0,0.001,200.0,620000000.0,1.0,4.9999999999999996e-06,0,0.0,0.0,0.875,0,1.5,0.0,0.005,300000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',773000000.0,0.032,0.3,0.1,0.2,1.3,0,0.03,2.9999999999999997e-05,0.0,0.0,0.03,0.0225,200.0,0.035,-6000000.0,590.0,0.014,0.975,0.01,100000.0,0.0225,0.018000000000000002,0.0,0.02,0.05,0.0225,0.0,500.0,0.1634945,0.007,0.0,93.0,0.003,0,0.0,0.0,0.0,0.01125,2.5,0.0,854000000.0,0.0,-1.4999999999999999e-05,10.0,0.02,0.0,0.0,b'251001_dmd0_iterative_compensation_pinning_4n.pkl',0,0.48,0.0,1.0,228200000.0,550.0,0.0,9.999999999999999e-06
1,1,2025/10/05 20:46:30,0.1,0.00025,0.7,0,0.0,0.03,0.174746,0.03,0.0,0.0,0.03,605500000.0,0.78,1088300000.0,0.04,200.0,620000000.0,1.0,9.999999999999999e-06,0,0.0,0.0,0.875,0,1.5,0.0,0.005,766000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',773000000.0,0.032,0.3,0.1,0.2,1.3,0,0.03,2.9999999999999997e-05,0.0,0.0,0.03,0.0225,200.0,0.035,-6000000.0,590.0,0.014,0.975,0.01,100000.0,0.0225,0.018000000000000002,1.0,0.02,0.05,0.0225,0.0,610.0,0.1634945,0.007,0.0,93.0,0.003,0,0.0,1.0,0.0,0.01125,2.5,0.0,1010900000.0,0.0,-1.4999999999999999e-05,10.0,0.02,0.0,0.0,b'251001_dmd0_iterative_compensation_pinning_4n.pkl',0,0.48,0.0,1.0,83506780.0,550.0,0.0,9.999999999999999e-06
2,2,2025/10/05 20:46:46,0.1,0.00025,0.0,0,0.0,0.03,0.174746,0.03,0.0,0.0,0.03,450000000.0,0.78,932600000.0,0.001,200.0,620000000.0,1.0,4.9999999999999996e-06,0,0.0,0.0,0.875,0,1.5,0.0,0.005,300000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',773000000.0,0.032,0.3,0.1,0.2,1.3,0,0.03,2.9999999999999997e-05,0.0,0.0,0.03,0.0225,200.0,0.035,-6000000.0,590.0,0.014,0.975,0.01,100000.0,0.0225,0.018000000000000002,0.0,0.02,0.05,0.0225,0.0,500.0,0.1634945,0.007,0.0,93.0,0.003,0,0.0,2.0,0.0,0.01125,2.5,0.0,854000000.0,0.0,-1.4999999999999999e-05,10.0,0.02,0.0,0.0,b'251001_dmd0_iterative_compensation_pinning_4p.pkl',0,0.48,0.0,1.0,228200000.0,550.0,0.0,9.999999999999999e-06
3,3,2025/10/05 20:47:02,0.1,0.00025,0.7,0,0.0,0.03,0.174746,0.03,0.0,0.0,0.03,605500000.0,0.78,1088300000.0,0.04,200.0,620000000.0,1.0,9.999999999999999e-06,0,0.0,0.0,0.875,0,1.5,0.0,0.005,766000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',773000000.0,0.032,0.3,0.1,0.2,1.3,0,0.03,2.9999999999999997e-05,0.0,0.0,0.03,0.0225,200.0,0.035,-6000000.0,590.0,0.014,0.975,0.01,100000.0,0.0225,0.018000000000000002,1.0,0.02,0.05,0.0225,0.0,610.0,0.1634945,0.007,0.0,93.0,0.003,0,0.0,3.0,0.0,0.01125,2.5,0.0,1010900000.0,0.0,-1.4999999999999999e-05,10.0,0.02,0.0,0.0,b'251001_dmd0_iterative_compensation_pinning_4p.pkl',0,0.48,0.0,1.0,83506780.0,550.0,0.0,9.999999999999999e-06
4,4,2025/10/05 20:47:18,0.1,0.00025,0.0,0,0.0,0.03,0.174746,0.03,0.0,0.0,0.03,450000000.0,0.78,932600000.0,0.001,200.0,620000000.0,1.0,4.9999999999999996e-06,0,0.0,0.0,0.875,0,1.5,0.0,0.005,300000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',773000000.0,0.032,0.3,0.1,0.2,1.3,0,0.03,2.9999999999999997e-05,0.0,0.0,0.03,0.0225,200.0,0.035,-6000000.0,590.0,0.014,0.975,0.01,100000.0,0.0225,0.018000000000000002,0.0,0.02,0.05,0.0225,0.0,500.0,0.1634945,0.007,0.0,93.0,0.003,0,0.0,4.0,0.0,0.01125,2.5,0.0,854000000.0,0.0,-1.4999999999999999e-05,10.0,0.02,0.0,0.0,b'251001_dmd0_iterative_compensation_pinning_6n.pkl',0,0.48,0.0,1.0,228200000.0,550.0,0.0,9.999999999999999e-06
5,5,2025/10/05 20:47:34,0.1,0.00025,0.7,0,0.0,0.03,0.174746,0.03,0.0,0.0,0.03,605500000.0,0.78,1088300000.0,0.04,200.0,620000000.0,1.0,9.999999999999999e-06,0,0.0,0.0,0.875,0,1.5,0.0,0.005,766000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',773000000.0,0.032,0.3,0.1,0.2,1.3,0,0.03,2.9999999999999997e-05,0.0,0.0,0.03,0.0225,200.0,0.035,-6000000.0,590.0,0.014,0.975,0.01,100000.0,0.0225,0.018000000000000002,1.0,0.02,0.05,0.0225,0.0,610.0,0.1634945,0.007,0.0,93.0,0.003,0,0.0,5.0,0.0,0.01125,2.5,0.0,1010900000.0,0.0,-1.4999999999999999e-05,10.0,0.02,0.0,0.0,b'251001_dmd0_iterative_compensation_pinning_6n.pkl',0,0.48,0.0,1.0,83506780.0,550.0,0.0,9.999999999999999e-06
6,6,2025/10/05 20:47:50,0.1,0.00025,0.0,0,0.0,0.03,0.174746,0.03,0.0,0.0,0.03,450000000.0,0.78,932600000.0,0.001,200.0,620000000.0,1.0,4.9999999999999996e-06,0,0.0,0.0,0.875,0,1.5,0.0,0.005,300000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',773000000.0,0.032,0.3,0.1,0.2,1.3,0,0.03,2.9999999999999997e-05,0.0,0.0,0.03,0.0225,200.0,0.035,-6000000.0,590.0,0.014,0.975,0.01,100000.0,0.0225,0.018000000000000002,0.0,0.02,0.05,0.0225,0.0,500.0,0.1634945,0.007,0.0,93.0,0.003,0,0.0,6.0,0.0,0.01125,2.5,0.0,854000000.0,0.0,-1.4999999999999999e-05,10.0,0.02,0.0,0.0,b'251001_dmd0_iterative_compensation_pinning_6p.pkl',0,0.48,0.0,1.0,228200000.0,550.0,0.0,9.999999999999999e-06
7,7,2025/10/05 20:48:06,0.1,0.00025,0.7,0,0.0,0.03,0.174746,0.03,0.0,0.0,0.03,605500000.0,0.78,1088300000.0,0.04,200.0,620000000.0,1.0,9.999999999999999e-06,0,0.0,0.0,0.875,0,1.5,0.0,0.005,766000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',773000000.0,0.032,0.3,0.1,0.2,1.3,0,0.03,2.9999999999999997e-05,0.0,0.0,0.03,0.0225,200.0,0.035,-6000000.0,590.0,0.014,0.975,0.01,100000.0,0.0225,0.018000000000000002,1.0,0.02,0.05,0.0225,0.0,610.0,0.1634945,0.007,0.0,93.0,0.003,0,0.0,7.0,0.0,0.01125,2.5,0.0,1010900000.0,0.0,-1.4999999999999999e-05,10.0,0.02,0.0,0.0,b'251001_dmd0_iterative_compensation_pinning_6p.pkl',0,0.48,0.0,1.0,83506780.0,550.0,0.0,9.999999999999999e-06
8,8,2025/10/05 20:48:22,0.1,0.00025,0.0,0,0.0,0.03,0.174746,0.03,0.0,0.0,0.03,450000000.0,0.78,932600000.0,0.001,200.0,620000000.0,1.0,4.9999999999999996e-06,0,0.0,0.0,0.875,0,1.5,0.0,0.005,300000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',773000000.0,0.032,0.3,0.1,0.2,1.3,0,0.03,2.9999999999999997e-05,0.0,0.0,0.03,0.0225,200.0,0.035,-6000000.0,590.0,0.014,0.975,0.01,100000.0,0.0225,0.018000000000000002,0.0,0.02,0.05,0.0225,0.0,500.0,0.1634945,0.007,0.0,93.0,0.003,0,0.0,8.0,0.0,0.01125,2.5,0.0,854000000.0,0.0,-1.4999999999999999e-05,10.0,0.02,0.0,0.0,b'251001_dmd0_iterative_compensation_pinning_8n.pkl',0,0.48,0.0,1.0,228200000.0,550.0,0.0,9.999999999999999e-06
9,9,2025/10/05 20:48:37,0.1,0.00025,0.7,0,0.0,0.03,0.174746,0.03,0.0,0.0,0.03,605500000.0,0.78,1088300000.0,0.04,200.0,620000000.0,1.0,9.999999999999999e-06,0,0.0,0.0,0.875,0,1.5,0.0,0.005,766000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',773000000.0,0.032,0.3,0.1,0.2,1.3,0,0.03,2.9999999999999997e-05,0.0,0.0,0.03,0.0225,200.0,0.035,-6000000.0,590.0,0.014,0.975,0.01,100000.0,0.0225,0.018000000000000002,1.0,0.02,0.05,0.0225,0.0,610.0,0.1634945,0.007,0.0,93.0,0.003,0,0.0,9.0,0.0,0.01125,2.5,0.0,1010900000.0,0.0,-1.4999999999999999e-05,10.0,0.02,0.0,0.0,b'251001_dmd0_iterative_compensation_pinning_8n.pkl',0,0.48,0.0,1.0,83506780.0,550.0,0.0,9.999999999999999e-06
