shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalLatticeVariables2.Dmd1ModPattern,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalLatticeVariables2.IsImageBIFormation,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalLatticeVariables2.PhysicsSplitFieldRampDelayTime,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.isUnloadReloadBI,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalLatticeVariables2.NematicLatticeModulationFrequency,GlobalLatticeVariables2.Dmd1PatternFilename,GlobalLatticeVariables2.isImageExpandedCheckerboard,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalLatticeVariables2.IsRoundTripReloading,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.UnloadLatticeYPower,LocalVariables.ScanID3,GlobalLatticeVariables2.DMDModulationFrequency,GlobalLatticeVariables2.IsDMDLatticeModulation,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalLatticeVariables2.DMDModulationPreHoldTime,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalMotVariables2.MotDetuningCompressed,LocalVariables.ScanID2,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.DMDModulationAmplitude,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.CleanupBandInsulatorWaitTime,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.SecondDMD1RampTime,LocalVariables.ScanID4,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.UnloadLatticeRampTime,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalLatticeVariables2.DMDModulationTime,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalLatticeVariables2.DMDModulationOffset,GlobalLatticeVariables2.ImagingLatticeFreezeTime,LocalVariables.XbarFrequency,LocalVariables.ShotTypeID,LocalVariables.DMDID,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,LocalVariables.ScanID5,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.UnloadLatticeXPower,GlobalLatticeVariables2.IsNematicLatticeModulation,LocalVariables.DMDID2,GlobalLatticeVariables2.ReloadLatticeRampTime
0,0,2025/10/06 06:43:10,0.0,1.5,0.0,0.014,10.0,1.3,0,0.78,932600000.0,0.005,550.0,4.9999999999999996e-06,0.48,0.0,0.0,0.0,0.0,0.03,0.0225,228200000.0,854000000.0,0,0.0,500.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0,0.1,450000000.0,0,0.0,0.0,0.007,0.0,200.0,0,0.0,0.0,0.0225,-6000000.0,0.875,0.174746,0.018000000000000002,0.0,2.9999999999999997e-05,0.001,0.03,590.0,0.975,2.5,b'251001_dmd0_iterative_compensation_pinning_4n.pkl',0.02,0.0,0.03,100000.0,0.01,620000000.0,93.0,0.0,300000000.0,0.05,0.03,0.0225,-1.4999999999999999e-05,0.01125,0.3,0.03,0.032,0.0015,1.0,0.0,0.02,773000000.0,0.0,0.0,0.0,0.1634945,0.2,0.035,0.0,1.0,9.999999999999999e-06,0.00025,0,0.0,0.1
1,1,2025/10/06 06:43:27,0.0,1.5,0.0,0.014,10.0,1.3,0,0.78,1088300000.0,0.005,550.0,9.999999999999999e-06,0.48,0.0,0.0,0.0,1.0,0.03,0.0225,83506780.0,1010900000.0,0,0.0,610.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0,0.1,605500000.0,0,0.0,0.0,0.007,0.0,200.0,0,0.7,0.0,0.0225,-6000000.0,0.875,0.174746,0.018000000000000002,0.0,2.9999999999999997e-05,0.04,0.03,590.0,0.975,2.5,b'251001_dmd0_iterative_compensation_pinning_4n.pkl',0.02,0.0,0.03,100000.0,0.01,620000000.0,93.0,0.0,766000000.0,0.05,0.03,0.0225,-1.4999999999999999e-05,0.01125,0.3,0.03,0.032,0.0015,1.0,0.0,0.02,773000000.0,1.0,0.0,0.0,0.1634945,0.2,0.035,0.0,1.0,9.999999999999999e-06,0.00025,0,0.0,0.1
2,2,2025/10/06 06:43:44,0.0,1.5,0.0,0.014,10.0,1.3,0,0.78,932600000.0,0.005,550.0,4.9999999999999996e-06,0.48,0.0,0.0,0.0,0.0,0.03,0.0225,228200000.0,854000000.0,0,0.0,500.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0,0.1,450000000.0,0,0.0,0.0,0.007,0.0,200.0,0,0.0,0.0,0.0225,-6000000.0,0.875,0.174746,0.018000000000000002,0.0,2.9999999999999997e-05,0.001,0.03,590.0,0.975,2.5,b'251001_dmd0_iterative_compensation_pinning_4p.pkl',0.02,0.0,0.03,100000.0,0.01,620000000.0,93.0,0.0,300000000.0,0.05,0.03,0.0225,-1.4999999999999999e-05,0.01125,0.3,0.03,0.032,0.0015,1.0,0.0,0.02,773000000.0,2.0,0.0,0.0,0.1634945,0.2,0.035,0.0,1.0,9.999999999999999e-06,0.00025,0,0.0,0.1
3,3,2025/10/06 06:44:00,0.0,1.5,0.0,0.014,10.0,1.3,0,0.78,1088300000.0,0.005,550.0,9.999999999999999e-06,0.48,0.0,0.0,0.0,1.0,0.03,0.0225,83506780.0,1010900000.0,0,0.0,610.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0,0.1,605500000.0,0,0.0,0.0,0.007,0.0,200.0,0,0.7,0.0,0.0225,-6000000.0,0.875,0.174746,0.018000000000000002,0.0,2.9999999999999997e-05,0.04,0.03,590.0,0.975,2.5,b'251001_dmd0_iterative_compensation_pinning_4p.pkl',0.02,0.0,0.03,100000.0,0.01,620000000.0,93.0,0.0,766000000.0,0.05,0.03,0.0225,-1.4999999999999999e-05,0.01125,0.3,0.03,0.032,0.0015,1.0,0.0,0.02,773000000.0,3.0,0.0,0.0,0.1634945,0.2,0.035,0.0,1.0,9.999999999999999e-06,0.00025,0,0.0,0.1
4,4,2025/10/06 06:44:17,0.0,1.5,0.0,0.014,10.0,1.3,0,0.78,932600000.0,0.005,550.0,4.9999999999999996e-06,0.48,0.0,0.0,0.0,0.0,0.03,0.0225,228200000.0,854000000.0,0,0.0,500.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0,0.1,450000000.0,0,0.0,0.0,0.007,0.0,200.0,0,0.0,0.0,0.0225,-6000000.0,0.875,0.174746,0.018000000000000002,0.0,2.9999999999999997e-05,0.001,0.03,590.0,0.975,2.5,b'251001_dmd0_iterative_compensation_pinning_6n.pkl',0.02,0.0,0.03,100000.0,0.01,620000000.0,93.0,0.0,300000000.0,0.05,0.03,0.0225,-1.4999999999999999e-05,0.01125,0.3,0.03,0.032,0.0015,1.0,0.0,0.02,773000000.0,4.0,0.0,0.0,0.1634945,0.2,0.035,0.0,1.0,9.999999999999999e-06,0.00025,0,0.0,0.1
5,5,2025/10/06 06:44:34,0.0,1.5,0.0,0.014,10.0,1.3,0,0.78,1088300000.0,0.005,550.0,9.999999999999999e-06,0.48,0.0,0.0,0.0,1.0,0.03,0.0225,83506780.0,1010900000.0,0,0.0,610.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0,0.1,605500000.0,0,0.0,0.0,0.007,0.0,200.0,0,0.7,0.0,0.0225,-6000000.0,0.875,0.174746,0.018000000000000002,0.0,2.9999999999999997e-05,0.04,0.03,590.0,0.975,2.5,b'251001_dmd0_iterative_compensation_pinning_6n.pkl',0.02,0.0,0.03,100000.0,0.01,620000000.0,93.0,0.0,766000000.0,0.05,0.03,0.0225,-1.4999999999999999e-05,0.01125,0.3,0.03,0.032,0.0015,1.0,0.0,0.02,773000000.0,5.0,0.0,0.0,0.1634945,0.2,0.035,0.0,1.0,9.999999999999999e-06,0.00025,0,0.0,0.1
6,6,2025/10/06 06:44:51,0.0,1.5,0.0,0.014,10.0,1.3,0,0.78,932600000.0,0.005,550.0,4.9999999999999996e-06,0.48,0.0,0.0,0.0,0.0,0.03,0.0225,228200000.0,854000000.0,0,0.0,500.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0,0.1,450000000.0,0,0.0,0.0,0.007,0.0,200.0,0,0.0,0.0,0.0225,-6000000.0,0.875,0.174746,0.018000000000000002,0.0,2.9999999999999997e-05,0.001,0.03,590.0,0.975,2.5,b'251001_dmd0_iterative_compensation_pinning_6p.pkl',0.02,0.0,0.03,100000.0,0.01,620000000.0,93.0,0.0,300000000.0,0.05,0.03,0.0225,-1.4999999999999999e-05,0.01125,0.3,0.03,0.032,0.0015,1.0,0.0,0.02,773000000.0,6.0,0.0,0.0,0.1634945,0.2,0.035,0.0,1.0,9.999999999999999e-06,0.00025,0,0.0,0.1
7,7,2025/10/06 06:45:07,0.0,1.5,0.0,0.014,10.0,1.3,0,0.78,1088300000.0,0.005,550.0,9.999999999999999e-06,0.48,0.0,0.0,0.0,1.0,0.03,0.0225,83506780.0,1010900000.0,0,0.0,610.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0,0.1,605500000.0,0,0.0,0.0,0.007,0.0,200.0,0,0.7,0.0,0.0225,-6000000.0,0.875,0.174746,0.018000000000000002,0.0,2.9999999999999997e-05,0.04,0.03,590.0,0.975,2.5,b'251001_dmd0_iterative_compensation_pinning_6p.pkl',0.02,0.0,0.03,100000.0,0.01,620000000.0,93.0,0.0,766000000.0,0.05,0.03,0.0225,-1.4999999999999999e-05,0.01125,0.3,0.03,0.032,0.0015,1.0,0.0,0.02,773000000.0,7.0,0.0,0.0,0.1634945,0.2,0.035,0.0,1.0,9.999999999999999e-06,0.00025,0,0.0,0.1
8,8,2025/10/06 06:45:24,0.0,1.5,0.0,0.014,10.0,1.3,0,0.78,932600000.0,0.005,550.0,4.9999999999999996e-06,0.48,0.0,0.0,0.0,0.0,0.03,0.0225,228200000.0,854000000.0,0,0.0,500.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0,0.1,450000000.0,0,0.0,0.0,0.007,0.0,200.0,0,0.0,0.0,0.0225,-6000000.0,0.875,0.174746,0.018000000000000002,0.0,2.9999999999999997e-05,0.001,0.03,590.0,0.975,2.5,b'251001_dmd0_iterative_compensation_pinning_8n.pkl',0.02,0.0,0.03,100000.0,0.01,620000000.0,93.0,0.0,300000000.0,0.05,0.03,0.0225,-1.4999999999999999e-05,0.01125,0.3,0.03,0.032,0.0015,1.0,0.0,0.02,773000000.0,8.0,0.0,0.0,0.1634945,0.2,0.035,0.0,1.0,9.999999999999999e-06,0.00025,0,0.0,0.1
9,9,2025/10/06 06:45:40,0.0,1.5,0.0,0.014,10.0,1.3,0,0.78,1088300000.0,0.005,550.0,9.999999999999999e-06,0.48,0.0,0.0,0.0,1.0,0.03,0.0225,83506780.0,1010900000.0,0,0.0,610.0,200.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0,0.1,605500000.0,0,0.0,0.0,0.007,0.0,200.0,0,0.7,0.0,0.0225,-6000000.0,0.875,0.174746,0.018000000000000002,0.0,2.9999999999999997e-05,0.04,0.03,590.0,0.975,2.5,b'251001_dmd0_iterative_compensation_pinning_8n.pkl',0.02,0.0,0.03,100000.0,0.01,620000000.0,93.0,0.0,766000000.0,0.05,0.03,0.0225,-1.4999999999999999e-05,0.01125,0.3,0.03,0.032,0.0015,1.0,0.0,0.02,773000000.0,9.0,0.0,0.0,0.1634945,0.2,0.035,0.0,1.0,9.999999999999999e-06,0.00025,0,0.0,0.1
