shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.IsRoundTripReloading,LocalVariables.XbarFrequency,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalLatticeVariables2.PhysicsSplitFieldRampDelayTime,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.IsImageBIFormation,GlobalLatticeVariables2.ReloadLatticeRampTime,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.Dmd1PatternFilename,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalLatticeVariables2.DMDModulationFrequency,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalLatticeVariables2.DMDModulationTime,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.NematicLatticeModulationFrequency,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.DMDModulationOffset,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.UnloadLatticeXPower,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.isImageExpandedCheckerboard,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalLatticeVariables2.IsDMDLatticeModulation,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.DMDModulationPreHoldTime,GlobalLatticeVariables2.UnloadLatticeRampTime,GlobalLatticeVariables2.PhysicsSplitYInitialPower,LocalVariables.ScanID3,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.UnloadLatticeYPower,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalLatticeVariables2.Dmd1ModPattern,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,LocalVariables.ScanID2,GlobalLatticeVariables2.FourthDMD0RampPower,LocalVariables.ShotTypeID,GlobalLatticeVariables2.ImagingLatticeFreezeTime,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalMotVariables2.MotDetuningCompressed,LocalVariables.ScanID4,GlobalLatticeVariables2.CleanupBandInsulatorWaitTime,GlobalLatticeVariables2.DMDModulationAmplitude,LocalVariables.DMDID2,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,LocalVariables.ScanID5,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,LocalVariables.DMDID,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.LoadWithDmd1InitialPower
0,0,2025/10/10 16:05:08,0.00075,0,10.0,0,773000000.0,1.3,0.0,854000000.0,500.0,0.03,0,0.1,1.0,0.3,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.48,0.03,0.2,932600000.0,200.0,0.018000000000000002,620000000.0,9.999999999999999e-06,0.0,1.0,0.0225,0.0,0.03,0.0,200.0,100000.0,0.0,0.001,0.00025,0.0,0.03,0.032,0,228200000.0,-1.4999999999999999e-05,300000000.0,0,0.975,0.0,0.01,0.1634945,0.0,0.005,0.174746,0.007,0.0,0.0,0.0,0.02,450000000.0,590.0,0.1,4.9999999999999996e-06,0.05,2.9999999999999997e-05,0.78,0.0,0.875,0.01125,0.0,0.02,550.0,1.5,b'251007_dmd0_iterative_compensation_pinning_4n.pkl',0.0,0.0225,-6000000.0,0.0,0.03,0.0,0.0,0.035,0.0,2.5,0.0,0.0,0.0,93.0,0.014,0.0225
1,1,2025/10/10 16:05:23,0.00075,0,10.0,0,773000000.0,1.3,0.0,1010900000.0,610.0,0.03,0,0.1,1.0,0.3,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.48,0.03,0.2,1088300000.0,200.0,0.018000000000000002,620000000.0,9.999999999999999e-06,0.7,1.0,0.0225,0.0,0.03,0.0,200.0,100000.0,0.0,0.04,0.00025,0.0,0.03,0.032,0,83506780.0,-1.4999999999999999e-05,766000000.0,0,0.975,0.0,0.01,0.1634945,0.0,0.005,0.174746,0.007,0.0,0.0,0.0,0.02,605500000.0,590.0,0.1,9.999999999999999e-06,0.05,2.9999999999999997e-05,0.78,0.0,0.875,0.01125,1.0,0.02,550.0,1.5,b'251007_dmd0_iterative_compensation_pinning_4n.pkl',1.0,0.0225,-6000000.0,0.0,0.03,0.0,0.0,0.035,0.0,2.5,0.0,0.0,0.0,93.0,0.014,0.0225
2,2,2025/10/10 16:05:39,0.00075,0,10.0,0,773000000.0,1.3,0.0,854000000.0,500.0,0.03,0,0.1,1.0,0.3,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.48,0.03,0.2,932600000.0,200.0,0.018000000000000002,620000000.0,9.999999999999999e-06,0.0,1.0,0.0225,0.0,0.03,0.0,200.0,100000.0,0.0,0.001,0.00025,0.0,0.03,0.032,0,228200000.0,-1.4999999999999999e-05,300000000.0,0,0.975,0.0,0.01,0.1634945,0.0,0.005,0.174746,0.007,0.0,0.0,0.0,0.02,450000000.0,590.0,0.1,4.9999999999999996e-06,0.05,2.9999999999999997e-05,0.78,0.0,0.875,0.01125,2.0,0.02,550.0,1.5,b'251007_dmd0_iterative_compensation_pinning_4p.pkl',0.0,0.0225,-6000000.0,0.0,0.03,0.0,0.0,0.035,0.0,2.5,0.0,0.0,0.0,93.0,0.014,0.0225
3,3,2025/10/10 16:05:55,0.00075,0,10.0,0,773000000.0,1.3,0.0,1010900000.0,610.0,0.03,0,0.1,1.0,0.3,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.48,0.03,0.2,1088300000.0,200.0,0.018000000000000002,620000000.0,9.999999999999999e-06,0.7,1.0,0.0225,0.0,0.03,0.0,200.0,100000.0,0.0,0.04,0.00025,0.0,0.03,0.032,0,83506780.0,-1.4999999999999999e-05,766000000.0,0,0.975,0.0,0.01,0.1634945,0.0,0.005,0.174746,0.007,0.0,0.0,0.0,0.02,605500000.0,590.0,0.1,9.999999999999999e-06,0.05,2.9999999999999997e-05,0.78,0.0,0.875,0.01125,3.0,0.02,550.0,1.5,b'251007_dmd0_iterative_compensation_pinning_4p.pkl',1.0,0.0225,-6000000.0,0.0,0.03,0.0,0.0,0.035,0.0,2.5,0.0,0.0,0.0,93.0,0.014,0.0225
4,4,2025/10/10 16:06:11,0.00075,0,10.0,0,773000000.0,1.3,0.0,854000000.0,500.0,0.03,0,0.1,1.0,0.3,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.48,0.03,0.2,932600000.0,200.0,0.018000000000000002,620000000.0,9.999999999999999e-06,0.0,1.0,0.0225,0.0,0.03,0.0,200.0,100000.0,0.0,0.001,0.00025,0.0,0.03,0.032,0,228200000.0,-1.4999999999999999e-05,300000000.0,0,0.975,0.0,0.01,0.1634945,0.0,0.005,0.174746,0.007,0.0,0.0,0.0,0.02,450000000.0,590.0,0.1,4.9999999999999996e-06,0.05,2.9999999999999997e-05,0.78,0.0,0.875,0.01125,4.0,0.02,550.0,1.5,b'251007_dmd0_iterative_compensation_pinning_6n.pkl',0.0,0.0225,-6000000.0,0.0,0.03,0.0,0.0,0.035,0.0,2.5,0.0,0.0,0.0,93.0,0.014,0.0225
5,5,2025/10/10 16:06:27,0.00075,0,10.0,0,773000000.0,1.3,0.0,1010900000.0,610.0,0.03,0,0.1,1.0,0.3,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.48,0.03,0.2,1088300000.0,200.0,0.018000000000000002,620000000.0,9.999999999999999e-06,0.7,1.0,0.0225,0.0,0.03,0.0,200.0,100000.0,0.0,0.04,0.00025,0.0,0.03,0.032,0,83506780.0,-1.4999999999999999e-05,766000000.0,0,0.975,0.0,0.01,0.1634945,0.0,0.005,0.174746,0.007,0.0,0.0,0.0,0.02,605500000.0,590.0,0.1,9.999999999999999e-06,0.05,2.9999999999999997e-05,0.78,0.0,0.875,0.01125,5.0,0.02,550.0,1.5,b'251007_dmd0_iterative_compensation_pinning_6n.pkl',1.0,0.0225,-6000000.0,0.0,0.03,0.0,0.0,0.035,0.0,2.5,0.0,0.0,0.0,93.0,0.014,0.0225
6,6,2025/10/10 16:06:43,0.00075,0,10.0,0,773000000.0,1.3,0.0,854000000.0,500.0,0.03,0,0.1,1.0,0.3,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.48,0.03,0.2,932600000.0,200.0,0.018000000000000002,620000000.0,9.999999999999999e-06,0.0,1.0,0.0225,0.0,0.03,0.0,200.0,100000.0,0.0,0.001,0.00025,0.0,0.03,0.032,0,228200000.0,-1.4999999999999999e-05,300000000.0,0,0.975,0.0,0.01,0.1634945,0.0,0.005,0.174746,0.007,0.0,0.0,0.0,0.02,450000000.0,590.0,0.1,4.9999999999999996e-06,0.05,2.9999999999999997e-05,0.78,0.0,0.875,0.01125,6.0,0.02,550.0,1.5,b'251007_dmd0_iterative_compensation_pinning_6p.pkl',0.0,0.0225,-6000000.0,0.0,0.03,0.0,0.0,0.035,0.0,2.5,0.0,0.0,0.0,93.0,0.014,0.0225
7,7,2025/10/10 16:06:59,0.00075,0,10.0,0,773000000.0,1.3,0.0,1010900000.0,610.0,0.03,0,0.1,1.0,0.3,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.48,0.03,0.2,1088300000.0,200.0,0.018000000000000002,620000000.0,9.999999999999999e-06,0.7,1.0,0.0225,0.0,0.03,0.0,200.0,100000.0,0.0,0.04,0.00025,0.0,0.03,0.032,0,83506780.0,-1.4999999999999999e-05,766000000.0,0,0.975,0.0,0.01,0.1634945,0.0,0.005,0.174746,0.007,0.0,0.0,0.0,0.02,605500000.0,590.0,0.1,9.999999999999999e-06,0.05,2.9999999999999997e-05,0.78,0.0,0.875,0.01125,7.0,0.02,550.0,1.5,b'251007_dmd0_iterative_compensation_pinning_6p.pkl',1.0,0.0225,-6000000.0,0.0,0.03,0.0,0.0,0.035,0.0,2.5,0.0,0.0,0.0,93.0,0.014,0.0225
8,8,2025/10/10 16:07:15,0.00075,0,10.0,0,773000000.0,1.3,0.0,854000000.0,500.0,0.03,0,0.1,1.0,0.3,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.48,0.03,0.2,932600000.0,200.0,0.018000000000000002,620000000.0,9.999999999999999e-06,0.0,1.0,0.0225,0.0,0.03,0.0,200.0,100000.0,0.0,0.001,0.00025,0.0,0.03,0.032,0,228200000.0,-1.4999999999999999e-05,300000000.0,0,0.975,0.0,0.01,0.1634945,0.0,0.005,0.174746,0.007,0.0,0.0,0.0,0.02,450000000.0,590.0,0.1,4.9999999999999996e-06,0.05,2.9999999999999997e-05,0.78,0.0,0.875,0.01125,8.0,0.02,550.0,1.5,b'251007_dmd0_iterative_compensation_pinning_8n.pkl',0.0,0.0225,-6000000.0,0.0,0.03,0.0,0.0,0.035,0.0,2.5,0.0,0.0,0.0,93.0,0.014,0.0225
9,9,2025/10/10 16:07:30,0.00075,0,10.0,0,773000000.0,1.3,0.0,1010900000.0,610.0,0.03,0,0.1,1.0,0.3,0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.48,0.03,0.2,1088300000.0,200.0,0.018000000000000002,620000000.0,9.999999999999999e-06,0.7,1.0,0.0225,0.0,0.03,0.0,200.0,100000.0,0.0,0.04,0.00025,0.0,0.03,0.032,0,83506780.0,-1.4999999999999999e-05,766000000.0,0,0.975,0.0,0.01,0.1634945,0.0,0.005,0.174746,0.007,0.0,0.0,0.0,0.02,605500000.0,590.0,0.1,9.999999999999999e-06,0.05,2.9999999999999997e-05,0.78,0.0,0.875,0.01125,9.0,0.02,550.0,1.5,b'251007_dmd0_iterative_compensation_pinning_8n.pkl',1.0,0.0225,-6000000.0,0.0,0.03,0.0,0.0,0.035,0.0,2.5,0.0,0.0,0.0,93.0,0.014,0.0225
