shot_idx,shot_serial,shot_start_time,GlobalPulseVariables2.LatticeMicrowaveDuration,LocalVariables.ScanID2,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalLatticeVariables2.PhysicsSplitFieldRampDelayTime,GlobalLatticeVariables2.DMDModulationAmplitude,GlobalLatticeVariables2.Dmd1PatternFilename,GlobalLatticeVariables2.ReloadLatticeRampTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.NematicLatticeModulationFrequency,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,LocalVariables.ScanID5,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.IsImageBIFormation,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalLatticeVariables2.IsDMDLatticeModulation,LocalVariables.XbarFrequency,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,LocalVariables.ScanID4,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.Dmd1ModPattern,GlobalLatticeVariables2.isImageExpandedCheckerboard,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.FinalStateGradientCurrent,LocalVariables.DMDID,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalLatticeVariables2.DMDModulationFrequency,GlobalLatticeVariables2.CleanupBandInsulatorWaitTime,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.IsRoundTripReloading,GlobalLatticeVariables2.DMDModulationOffset,GlobalLatticeVariables2.ImagingLatticeFreezeTime,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalLatticeVariables2.UnloadLatticeYPower,GlobalLatticeVariables2.UnloadLatticeXPower,GlobalLatticeVariables2.DMDModulationTime,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.UnloadLatticeRampTime,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalMotVariables2.MotDetuningCompressed,LocalVariables.ScanID3,LocalVariables.DMDID2,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.DMDModulationPreHoldTime,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,LocalVariables.ShotTypeID,GlobalLatticeVariables2.CleanupBandInsulatorRampTime
0,0,2025/10/21 07:26:18,0.001,0.875,0.174746,450000000.0,1.0,b'251016_dmd0_iterative_compensation_pinning_4n.pkl',0.0,0.05,0.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.1,0.005,200.0,854000000.0,0.0,0.0,4.9999999999999996e-06,0.0,93.0,0.035,0.03,0,550.0,-1.4999999999999999e-05,0.0185,0.0185,0.0185,100000.0,0.3,0,773000000.0,0.0,0.0,0.0,300000000.0,2.5,1.3,0.0,0.03,0,0.014,0.48,590.0,0.0,0.0,0,0.018000000000000002,0.01125,10.0,0.0,0.02,200.0,0.03,9.999999999999999e-06,0.03,0,0.0,0.02,0,0.975,1.0,0.007,0.00025,0.03,0.0,620000000.0,0.01,1.5,932600000.0,0.1634945,0.0,-6000000.0,0.0,0.0,228200000.0,0.0,0.032,0.78,2.9999999999999997e-05,0.1,0.00334,0.0,500.0,0.0,0.2
1,1,2025/10/21 07:26:34,0.04,0.875,0.174746,606800000.0,1.0,b'251016_dmd0_iterative_compensation_pinning_4n.pkl',0.0,0.05,0.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.1,0.005,200.0,1010900000.0,0.0,0.7,9.999999999999999e-06,0.0,93.0,0.035,0.03,0,550.0,-1.4999999999999999e-05,0.0185,0.0185,0.0185,100000.0,0.3,0,773000000.0,0.0,0.0,0.0,766000000.0,2.5,1.3,0.0,0.03,0,0.014,0.48,590.0,1.0,0.0,0,0.018000000000000002,0.01125,10.0,0.0,0.02,200.0,0.03,9.999999999999999e-06,0.03,0,0.0,0.02,0,0.975,1.0,0.007,0.00025,0.03,0.0,620000000.0,0.01,1.5,1088300000.0,0.1634945,0.0,-6000000.0,0.0,0.0,83506780.0,0.0,0.032,0.78,2.9999999999999997e-05,0.1,0.00334,0.0,610.0,1.0,0.2
2,2,2025/10/21 07:26:51,0.001,0.875,0.174746,450000000.0,1.0,b'251016_dmd0_iterative_compensation_pinning_4p.pkl',0.0,0.05,0.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.1,0.005,200.0,854000000.0,0.0,0.0,4.9999999999999996e-06,0.0,93.0,0.035,0.03,0,550.0,-1.4999999999999999e-05,0.0185,0.0185,0.0185,100000.0,0.3,0,773000000.0,0.0,0.0,0.0,300000000.0,2.5,1.3,0.0,0.03,0,0.014,0.48,590.0,0.0,0.0,0,0.018000000000000002,0.01125,10.0,0.0,0.02,200.0,0.03,9.999999999999999e-06,0.03,0,0.0,0.02,0,0.975,1.0,0.007,0.00025,0.03,0.0,620000000.0,0.01,1.5,932600000.0,0.1634945,0.0,-6000000.0,0.0,0.0,228200000.0,0.0,0.032,0.78,2.9999999999999997e-05,0.1,0.00334,0.0,500.0,2.0,0.2
3,3,2025/10/21 07:27:07,0.04,0.875,0.174746,606800000.0,1.0,b'251016_dmd0_iterative_compensation_pinning_4p.pkl',0.0,0.05,0.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.1,0.005,200.0,1010900000.0,0.0,0.7,9.999999999999999e-06,0.0,93.0,0.035,0.03,0,550.0,-1.4999999999999999e-05,0.0185,0.0185,0.0185,100000.0,0.3,0,773000000.0,0.0,0.0,0.0,766000000.0,2.5,1.3,0.0,0.03,0,0.014,0.48,590.0,1.0,0.0,0,0.018000000000000002,0.01125,10.0,0.0,0.02,200.0,0.03,9.999999999999999e-06,0.03,0,0.0,0.02,0,0.975,1.0,0.007,0.00025,0.03,0.0,620000000.0,0.01,1.5,1088300000.0,0.1634945,0.0,-6000000.0,0.0,0.0,83506780.0,0.0,0.032,0.78,2.9999999999999997e-05,0.1,0.00334,0.0,610.0,3.0,0.2
4,4,2025/10/21 07:27:23,0.001,0.875,0.174746,450000000.0,1.0,b'251016_dmd0_iterative_compensation_pinning_6n.pkl',0.0,0.05,0.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.1,0.005,200.0,854000000.0,0.0,0.0,4.9999999999999996e-06,0.0,93.0,0.035,0.03,0,550.0,-1.4999999999999999e-05,0.0185,0.0185,0.0185,100000.0,0.3,0,773000000.0,0.0,0.0,0.0,300000000.0,2.5,1.3,0.0,0.03,0,0.014,0.48,590.0,0.0,0.0,0,0.018000000000000002,0.01125,10.0,0.0,0.02,200.0,0.03,9.999999999999999e-06,0.03,0,0.0,0.02,0,0.975,1.0,0.007,0.00025,0.03,0.0,620000000.0,0.01,1.5,932600000.0,0.1634945,0.0,-6000000.0,0.0,0.0,228200000.0,0.0,0.032,0.78,2.9999999999999997e-05,0.1,0.00334,0.0,500.0,4.0,0.2
5,5,2025/10/21 07:27:39,0.04,0.875,0.174746,606800000.0,1.0,b'251016_dmd0_iterative_compensation_pinning_6n.pkl',0.0,0.05,0.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.1,0.005,200.0,1010900000.0,0.0,0.7,9.999999999999999e-06,0.0,93.0,0.035,0.03,0,550.0,-1.4999999999999999e-05,0.0185,0.0185,0.0185,100000.0,0.3,0,773000000.0,0.0,0.0,0.0,766000000.0,2.5,1.3,0.0,0.03,0,0.014,0.48,590.0,1.0,0.0,0,0.018000000000000002,0.01125,10.0,0.0,0.02,200.0,0.03,9.999999999999999e-06,0.03,0,0.0,0.02,0,0.975,1.0,0.007,0.00025,0.03,0.0,620000000.0,0.01,1.5,1088300000.0,0.1634945,0.0,-6000000.0,0.0,0.0,83506780.0,0.0,0.032,0.78,2.9999999999999997e-05,0.1,0.00334,0.0,610.0,5.0,0.2
6,6,2025/10/21 07:27:55,0.001,0.875,0.174746,450000000.0,1.0,b'251016_dmd0_iterative_compensation_pinning_6p.pkl',0.0,0.05,0.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.1,0.005,200.0,854000000.0,0.0,0.0,4.9999999999999996e-06,0.0,93.0,0.035,0.03,0,550.0,-1.4999999999999999e-05,0.0185,0.0185,0.0185,100000.0,0.3,0,773000000.0,0.0,0.0,0.0,300000000.0,2.5,1.3,0.0,0.03,0,0.014,0.48,590.0,0.0,0.0,0,0.018000000000000002,0.01125,10.0,0.0,0.02,200.0,0.03,9.999999999999999e-06,0.03,0,0.0,0.02,0,0.975,1.0,0.007,0.00025,0.03,0.0,620000000.0,0.01,1.5,932600000.0,0.1634945,0.0,-6000000.0,0.0,0.0,228200000.0,0.0,0.032,0.78,2.9999999999999997e-05,0.1,0.00334,0.0,500.0,6.0,0.2
7,7,2025/10/21 07:28:11,0.04,0.875,0.174746,606800000.0,1.0,b'251016_dmd0_iterative_compensation_pinning_6p.pkl',0.0,0.05,0.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.1,0.005,200.0,1010900000.0,0.0,0.7,9.999999999999999e-06,0.0,93.0,0.035,0.03,0,550.0,-1.4999999999999999e-05,0.0185,0.0185,0.0185,100000.0,0.3,0,773000000.0,0.0,0.0,0.0,766000000.0,2.5,1.3,0.0,0.03,0,0.014,0.48,590.0,1.0,0.0,0,0.018000000000000002,0.01125,10.0,0.0,0.02,200.0,0.03,9.999999999999999e-06,0.03,0,0.0,0.02,0,0.975,1.0,0.007,0.00025,0.03,0.0,620000000.0,0.01,1.5,1088300000.0,0.1634945,0.0,-6000000.0,0.0,0.0,83506780.0,0.0,0.032,0.78,2.9999999999999997e-05,0.1,0.00334,0.0,610.0,7.0,0.2
8,8,2025/10/21 07:28:27,0.001,0.875,0.174746,450000000.0,1.0,b'251016_dmd0_iterative_compensation_pinning_8n.pkl',0.0,0.05,0.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.1,0.005,200.0,854000000.0,0.0,0.0,4.9999999999999996e-06,0.0,93.0,0.035,0.03,0,550.0,-1.4999999999999999e-05,0.0185,0.0185,0.0185,100000.0,0.3,0,773000000.0,0.0,0.0,0.0,300000000.0,2.5,1.3,0.0,0.03,0,0.014,0.48,590.0,0.0,0.0,0,0.018000000000000002,0.01125,10.0,0.0,0.02,200.0,0.03,9.999999999999999e-06,0.03,0,0.0,0.02,0,0.975,1.0,0.007,0.00025,0.03,0.0,620000000.0,0.01,1.5,932600000.0,0.1634945,0.0,-6000000.0,0.0,0.0,228200000.0,0.0,0.032,0.78,2.9999999999999997e-05,0.1,0.00334,0.0,500.0,8.0,0.2
9,9,2025/10/21 07:28:42,0.04,0.875,0.174746,606800000.0,1.0,b'251016_dmd0_iterative_compensation_pinning_8n.pkl',0.0,0.05,0.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.1,0.005,200.0,1010900000.0,0.0,0.7,9.999999999999999e-06,0.0,93.0,0.035,0.03,0,550.0,-1.4999999999999999e-05,0.0185,0.0185,0.0185,100000.0,0.3,0,773000000.0,0.0,0.0,0.0,766000000.0,2.5,1.3,0.0,0.03,0,0.014,0.48,590.0,1.0,0.0,0,0.018000000000000002,0.01125,10.0,0.0,0.02,200.0,0.03,9.999999999999999e-06,0.03,0,0.0,0.02,0,0.975,1.0,0.007,0.00025,0.03,0.0,620000000.0,0.01,1.5,1088300000.0,0.1634945,0.0,-6000000.0,0.0,0.0,83506780.0,0.0,0.032,0.78,2.9999999999999997e-05,0.1,0.00334,0.0,610.0,9.0,0.2
