shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.UnloadLatticeDMD1Power,LocalVariables.DMDID,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,LocalVariables.ShotTypeID,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.LoadWithDmd0InitialPower,LocalVariables.XbarFrequency,LocalVariables.ScanID4,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.isUnloadReloadBI,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,LocalVariables.DMDID2
0,0,2025/10/21 19:27:30,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
1,1,2025/10/21 19:27:46,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
2,2,2025/10/21 19:28:03,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
3,3,2025/10/21 19:28:20,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
4,4,2025/10/21 19:28:37,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
5,5,2025/10/21 19:28:54,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
6,6,2025/10/21 19:29:11,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
7,7,2025/10/21 19:29:28,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
8,8,2025/10/21 19:29:45,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
9,9,2025/10/21 19:30:02,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
10,10,2025/10/21 19:30:19,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
11,11,2025/10/21 19:30:36,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
12,12,2025/10/21 19:30:53,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
13,13,2025/10/21 19:31:11,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
14,14,2025/10/21 19:31:28,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
15,15,2025/10/21 19:31:45,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
16,16,2025/10/21 19:32:02,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
17,17,2025/10/21 19:32:19,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
18,18,2025/10/21 19:32:36,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
19,19,2025/10/21 19:32:53,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
20,20,2025/10/21 19:33:10,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
21,21,2025/10/21 19:33:27,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
22,22,2025/10/21 19:33:44,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
23,23,2025/10/21 19:34:01,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
24,24,2025/10/21 19:34:18,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
25,25,2025/10/21 19:34:35,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
26,26,2025/10/21 19:34:52,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
27,27,2025/10/21 19:35:10,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
28,28,2025/10/21 19:35:27,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
29,29,2025/10/21 19:35:44,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
30,30,2025/10/21 19:36:01,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
31,31,2025/10/21 19:36:18,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
32,32,2025/10/21 19:36:35,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
33,33,2025/10/21 19:36:52,0.03,2.9999999999999997e-05,0.0225,0.0,0.005,0.0,228200000.0,0.1,10.0,100000.0,545.0,0.032,773000000.0,0.0,0.0,0.0315,0.03,0.03,0,0.001,0.0225,93.0,0.195,0.014,0.215,0.0,b'251016_dmd0_iterative_compensation.pkl',0.018000000000000002,1e-06,0.0225,0.975,0.01365,0.2,0.0
