shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,LocalVariables.XbarFrequency,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,LocalVariables.ImagingBlowOutID,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,LocalVariables.ShotTypeID,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.PhysicsSplitYInitialPower,LocalVariables.DMDID2,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,LocalVariables.ScanID4,GlobalLatticeVariables2.UnloadLatticeDMD1Power,LocalVariables.DMDID,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime
0,0,2025/10/21 22:42:33,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
1,1,2025/10/21 22:42:51,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
2,2,2025/10/21 22:43:09,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
3,3,2025/10/21 22:43:27,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
4,4,2025/10/21 22:43:45,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
5,5,2025/10/21 22:44:03,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
6,6,2025/10/21 22:44:21,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
7,7,2025/10/21 22:44:39,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
8,8,2025/10/21 22:44:57,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
9,9,2025/10/21 22:45:15,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
