shot_idx,shot_serial,shot_start_time,LocalVariables.ImagingBlowOutID,LocalVariables.DMDID,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,LocalVariables.ScanID4,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.UnloadLatticeDMD1Power,LocalVariables.XbarFrequency,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.isUnloadReloadBI,LocalVariables.ShotTypeID,LocalVariables.DMDID2,GlobalLatticeVariables2.ThirdDMD1RampPower
0,0,2025/03/21 00:37:46,0.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,0.0,0.0,2.4
1,1,2025/03/21 00:38:04,2.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,1.0,0.0,2.4
2,2,2025/03/21 00:38:22,1.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,2.0,0.0,2.4
3,3,2025/03/21 00:38:40,2.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,3.0,0.0,2.4
4,4,2025/03/21 00:38:58,1.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,4.0,0.0,2.4
5,5,2025/03/21 00:39:17,2.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,5.0,0.0,2.4
6,6,2025/03/21 00:39:35,1.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,6.0,0.0,2.4
7,7,2025/03/21 00:39:53,2.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,7.0,0.0,2.4
8,8,2025/03/21 00:40:11,1.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,8.0,0.0,2.4
9,9,2025/03/21 00:40:29,0.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,0.0,0.0,2.4
10,10,2025/03/21 00:40:47,2.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,1.0,0.0,2.4
11,11,2025/03/21 00:41:05,1.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,2.0,0.0,2.4
12,12,2025/03/21 00:41:23,2.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,3.0,0.0,2.4
13,13,2025/03/21 00:41:41,1.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,4.0,0.0,2.4
14,14,2025/03/21 00:41:59,2.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,5.0,0.0,2.4
15,15,2025/03/21 00:42:17,1.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,6.0,0.0,2.4
16,16,2025/03/21 00:42:35,2.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,7.0,0.0,2.4
