shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,LocalVariables.ScanID4,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,LocalVariables.DMDID,LocalVariables.XbarFrequency,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,LocalVariables.ShotTypeID,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.isUnloadReloadBI,LocalVariables.DMDID2,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,LocalVariables.ImagingBlowOutID
0,0,2025/03/21 16:02:45,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,0.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,0.0
1,1,2025/03/21 16:03:03,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,1.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,2.0
2,2,2025/03/21 16:03:22,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,2.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,1.0
3,3,2025/03/21 16:03:44,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,3.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,2.0
4,4,2025/03/21 16:04:04,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,4.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,1.0
5,5,2025/03/21 16:04:23,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,5.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,2.0
6,6,2025/03/21 16:04:44,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,6.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,1.0
7,7,2025/03/21 16:05:03,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,7.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,2.0
8,8,2025/03/21 16:05:22,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,8.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,1.0
9,9,2025/03/21 16:05:42,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,0.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,0.0
