shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.isUnloadReloadBI,LocalVariables.ScanID4,GlobalLatticeVariables2.SecondDMD1RampPower,LocalVariables.ImagingBlowOutID,LocalVariables.XbarFrequency,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,LocalVariables.ShotTypeID,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,LocalVariables.DMDID2,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.ThirdDMD1RampPower,LocalVariables.DMDID,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent
0,0,2025/03/21 19:04:21,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,0.0,773.0,228.2,14.0,35.0,0.0,0.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
1,1,2025/03/21 19:04:39,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,2.0,773.0,228.2,14.0,35.0,0.0,1.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
2,2,2025/03/21 19:04:57,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,1.0,773.0,228.2,14.0,35.0,0.0,2.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
3,3,2025/03/21 19:05:15,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,2.0,773.0,228.2,14.0,35.0,0.0,3.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
4,4,2025/03/21 19:05:33,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,1.0,773.0,228.2,14.0,35.0,0.0,4.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
5,5,2025/03/21 19:05:52,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,2.0,773.0,228.2,14.0,35.0,0.0,5.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
6,6,2025/03/21 19:06:10,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,1.0,773.0,228.2,14.0,35.0,0.0,6.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
7,7,2025/03/21 19:06:28,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,2.0,773.0,228.2,14.0,35.0,0.0,7.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
8,8,2025/03/21 19:06:46,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,1.0,773.0,228.2,14.0,35.0,0.0,8.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
9,9,2025/03/21 19:07:04,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,0.0,773.0,228.2,14.0,35.0,0.0,0.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
