shot_idx,shot_serial,shot_start_time,LocalVariables.XbarFrequency,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.LoadWithDmd1InitialPower,LocalVariables.ShotTypeID,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.Dmd0SecondPatternFilename,LocalVariables.DMDID,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,LocalVariables.DMDID2,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalPulseVariables2.LatticeMicrowaveDuration,LocalVariables.ScanID4,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime
0,0,2025/03/21 21:44:49,773.0,30.0,5.0,0.0,163.4945,12.0,0.0,22.0,18.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,35.0,0.0,228.2,93.0,2.0,1.0,0.0,0.0,590.0,30.0,200.0,0.975,0.0,10.0,7.26,14.0,174.746,10.0,28.0,100.0
1,1,2025/03/21 21:45:07,773.0,30.0,5.0,0.0,163.4945,12.0,1.0,22.0,18.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,35.0,0.0,228.2,93.0,2.0,1.0,0.0,2.0,590.0,30.0,200.0,0.975,0.0,10.0,7.26,14.0,174.746,10.0,28.0,100.0
2,2,2025/03/21 21:45:26,773.0,30.0,5.0,0.0,163.4945,12.0,2.0,22.0,18.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,35.0,0.0,228.2,93.0,2.0,1.0,0.0,1.0,590.0,30.0,200.0,0.975,0.0,10.0,7.26,14.0,174.746,10.0,28.0,100.0
3,3,2025/03/21 21:45:44,773.0,30.0,5.0,0.0,163.4945,12.0,3.0,22.0,18.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,35.0,0.0,228.2,93.0,2.0,1.0,0.0,2.0,590.0,30.0,200.0,0.975,0.0,10.0,7.26,14.0,174.746,10.0,28.0,100.0
4,4,2025/03/21 21:46:02,773.0,30.0,5.0,0.0,163.4945,12.0,4.0,22.0,18.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,35.0,0.0,228.2,93.0,2.0,1.0,0.0,1.0,590.0,30.0,200.0,0.975,0.0,10.0,7.26,14.0,174.746,10.0,28.0,100.0
5,5,2025/03/21 21:46:21,773.0,30.0,5.0,0.0,163.4945,12.0,5.0,22.0,18.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,35.0,0.0,228.2,93.0,2.0,1.0,0.0,2.0,590.0,30.0,200.0,0.975,0.0,10.0,7.26,14.0,174.746,10.0,28.0,100.0
6,6,2025/03/21 21:46:39,773.0,30.0,5.0,0.0,163.4945,12.0,6.0,22.0,18.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,35.0,0.0,228.2,93.0,2.0,1.0,0.0,1.0,590.0,30.0,200.0,0.975,0.0,10.0,7.26,14.0,174.746,10.0,28.0,100.0
7,7,2025/03/21 21:46:58,773.0,30.0,5.0,0.0,163.4945,12.0,7.0,22.0,18.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,35.0,0.0,228.2,93.0,2.0,1.0,0.0,2.0,590.0,30.0,200.0,0.975,0.0,10.0,7.26,14.0,174.746,10.0,28.0,100.0
8,8,2025/03/21 21:47:16,773.0,30.0,5.0,0.0,163.4945,12.0,8.0,22.0,18.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,35.0,0.0,228.2,93.0,2.0,1.0,0.0,1.0,590.0,30.0,200.0,0.975,0.0,10.0,7.26,14.0,174.746,10.0,28.0,100.0
9,9,2025/03/21 21:47:34,773.0,30.0,5.0,0.0,163.4945,12.0,0.0,22.0,18.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,35.0,0.0,228.2,93.0,2.0,1.0,0.0,0.0,590.0,30.0,200.0,0.975,0.0,10.0,7.26,14.0,174.746,10.0,28.0,100.0
10,10,2025/03/21 21:47:53,773.0,30.0,5.0,0.0,163.4945,12.0,1.0,22.0,18.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,35.0,0.0,228.2,93.0,2.0,1.0,0.0,2.0,590.0,30.0,200.0,0.975,0.0,10.0,7.26,14.0,174.746,10.0,28.0,100.0
11,11,2025/03/21 21:48:11,773.0,30.0,5.0,0.0,163.4945,12.0,2.0,22.0,18.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,35.0,0.0,228.2,93.0,2.0,1.0,0.0,1.0,590.0,30.0,200.0,0.975,0.0,10.0,7.26,14.0,174.746,10.0,28.0,100.0
12,12,2025/03/21 21:48:29,773.0,30.0,5.0,0.0,163.4945,12.0,3.0,22.0,18.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,35.0,0.0,228.2,93.0,2.0,1.0,0.0,2.0,590.0,30.0,200.0,0.975,0.0,10.0,7.26,14.0,174.746,10.0,28.0,100.0
13,13,2025/03/21 21:48:47,773.0,30.0,5.0,0.0,163.4945,12.0,4.0,22.0,18.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,100.0,35.0,0.0,228.2,93.0,2.0,1.0,0.0,1.0,590.0,30.0,200.0,0.975,0.0,10.0,7.26,14.0,174.746,10.0,28.0,100.0
