shot_idx,shot_serial,shot_start_time,LocalVariables.XbarFrequency,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,LocalVariables.ScanID4,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalPulseVariables2.LatticeMicrowaveFrequency,LocalVariables.ShotTypeID,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,LocalVariables.DMDID2,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.ThirdDMD1RampPower,LocalVariables.DMDID,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency
0,0,2025/03/22 00:29:09,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,0.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,0.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
1,1,2025/03/22 00:29:27,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,1.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
2,2,2025/03/22 00:29:46,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,2.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
3,3,2025/03/22 00:30:08,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,3.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
4,4,2025/03/22 00:30:26,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,4.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
5,5,2025/03/22 00:30:48,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,5.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
6,6,2025/03/22 00:31:07,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,6.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
7,7,2025/03/22 00:31:27,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,7.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
8,8,2025/03/22 00:31:46,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,8.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
9,9,2025/03/22 00:32:05,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,0.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,0.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
10,10,2025/03/22 00:32:23,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,1.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
