shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,LocalVariables.DMDID,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.isUnloadReloadBI,LocalVariables.ShotTypeID,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,LocalVariables.ScanID4,LocalVariables.XbarFrequency,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LatticeFreezeRampTime,LocalVariables.DMDID2,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower
0,0,2025/03/22 09:50:57,100.0,0.0,200.0,12.0,10.0,0,0.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
1,1,2025/03/22 09:51:15,100.0,0.0,200.0,12.0,10.0,0,1.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
2,2,2025/03/22 09:51:33,100.0,0.0,200.0,12.0,10.0,0,2.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
3,3,2025/03/22 09:51:51,100.0,0.0,200.0,12.0,10.0,0,3.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
4,4,2025/03/22 09:52:10,100.0,0.0,200.0,12.0,10.0,0,4.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
5,5,2025/03/22 09:52:28,100.0,0.0,200.0,12.0,10.0,0,5.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
6,6,2025/03/22 09:52:46,100.0,0.0,200.0,12.0,10.0,0,6.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
7,7,2025/03/22 09:53:04,100.0,0.0,200.0,12.0,10.0,0,7.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
8,8,2025/03/22 09:53:22,100.0,0.0,200.0,12.0,10.0,0,8.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
9,9,2025/03/22 09:53:40,100.0,0.0,200.0,12.0,10.0,0,0.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
