shot_idx,shot_serial,shot_start_time,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,LocalVariables.XbarFrequency,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.FourthDMD0RampPower,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,LocalVariables.ScanID4,LocalVariables.DMDID,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,LocalVariables.DMDID2,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,LocalVariables.ShotTypeID,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency
0,0,2025/03/22 20:16:10,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,0.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,0.0,100.0
1,1,2025/03/22 20:16:28,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,1.0,100.0
2,2,2025/03/22 20:16:47,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,2.0,100.0
3,3,2025/03/22 20:17:06,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,3.0,100.0
4,4,2025/03/22 20:17:32,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,4.0,100.0
5,5,2025/03/22 20:17:51,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,5.0,100.0
6,6,2025/03/22 20:18:11,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,6.0,100.0
7,7,2025/03/22 20:18:30,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,7.0,100.0
8,8,2025/03/22 20:18:49,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,8.0,100.0
9,9,2025/03/22 20:19:08,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,0.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,0.0,100.0
