shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,LocalVariables.ShotTypeID,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,LocalVariables.DMDID,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,LocalVariables.ImagingBlowOutID,LocalVariables.DMDID2,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,LocalVariables.XbarFrequency,LocalVariables.ScanID4
0,0,2025/03/22 21:37:31,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,0.0,100.0,14.0,30.0,0.0,18.0,590.0,0.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
1,1,2025/03/22 21:37:49,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,1.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
2,2,2025/03/22 21:38:08,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,2.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
3,3,2025/03/22 21:38:26,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,3.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
4,4,2025/03/22 21:38:44,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,4.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
5,5,2025/03/22 21:39:03,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,5.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
6,6,2025/03/22 21:39:21,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,6.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
7,7,2025/03/22 21:39:40,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,7.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
8,8,2025/03/22 21:39:58,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,8.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
9,9,2025/03/22 21:40:16,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,0.0,100.0,14.0,30.0,0.0,18.0,590.0,0.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
10,10,2025/03/22 21:40:34,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,1.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
