shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.ThirdDMD1RampPower,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,LocalVariables.DMDID,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,LocalVariables.ScanID4,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,LocalVariables.ShotTypeID,LocalVariables.XbarFrequency,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.FinalStateGradientCurrent,LocalVariables.DMDID2,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower
0,0,2025/03/23 12:34:53,10.0,1.8,0.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,0.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
1,1,2025/03/23 12:35:11,10.0,1.8,2.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,1.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
2,2,2025/03/23 12:35:29,10.0,1.8,1.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,2.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
3,3,2025/03/23 12:35:47,10.0,1.8,2.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,3.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
4,4,2025/03/23 12:36:05,10.0,1.8,1.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,4.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
5,5,2025/03/23 12:36:24,10.0,1.8,2.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,5.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
6,6,2025/03/23 12:36:42,10.0,1.8,1.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,6.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
7,7,2025/03/23 12:37:00,10.0,1.8,2.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,7.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
8,8,2025/03/23 12:37:18,10.0,1.8,1.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,8.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
9,9,2025/03/23 12:37:36,10.0,1.8,0.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,0.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
10,10,2025/03/23 12:37:54,10.0,1.8,2.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,1.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
11,11,2025/03/23 12:38:12,10.0,1.8,1.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,2.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
12,12,2025/03/23 12:38:30,10.0,1.8,2.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,3.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
13,13,2025/03/23 12:38:48,10.0,1.8,1.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,4.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
