shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,LocalVariables.DMDID,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,LocalVariables.XbarFrequency,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalPulseVariables2.LatticeMicrowaveFrequency,LocalVariables.ScanID4,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,LocalVariables.ShotTypeID,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,LocalVariables.DMDID2,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power
0,0,2025/03/23 13:58:07,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,200.0,100.0,773.0,1.0,0.0,163.4945,93.0,228.2,0.0,0.0,0,8.64,30.0,0.0,10.0,0.975,100.0,0.0,28.0,1.8,30.0,5.0,14.0,22.0,590.0,0.0,18.0,12.0,174.746,10.0,14.0
1,1,2025/03/23 13:58:25,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,200.0,100.0,773.0,1.0,0.0,163.4945,93.0,228.2,0.0,2.0,0,8.64,30.0,0.0,10.0,0.975,100.0,1.0,28.0,1.8,30.0,5.0,14.0,22.0,590.0,0.0,18.0,12.0,174.746,10.0,14.0
2,2,2025/03/23 13:58:43,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,200.0,100.0,773.0,1.0,0.0,163.4945,93.0,228.2,0.0,1.0,0,8.64,30.0,0.0,10.0,0.975,100.0,2.0,28.0,1.8,30.0,5.0,14.0,22.0,590.0,0.0,18.0,12.0,174.746,10.0,14.0
3,3,2025/03/23 13:59:01,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,200.0,100.0,773.0,1.0,0.0,163.4945,93.0,228.2,0.0,2.0,0,8.64,30.0,0.0,10.0,0.975,100.0,3.0,28.0,1.8,30.0,5.0,14.0,22.0,590.0,0.0,18.0,12.0,174.746,10.0,14.0
4,4,2025/03/23 13:59:20,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,200.0,100.0,773.0,1.0,0.0,163.4945,93.0,228.2,0.0,1.0,0,8.64,30.0,0.0,10.0,0.975,100.0,4.0,28.0,1.8,30.0,5.0,14.0,22.0,590.0,0.0,18.0,12.0,174.746,10.0,14.0
5,5,2025/03/23 13:59:38,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,200.0,100.0,773.0,1.0,0.0,163.4945,93.0,228.2,0.0,2.0,0,8.64,30.0,0.0,10.0,0.975,100.0,5.0,28.0,1.8,30.0,5.0,14.0,22.0,590.0,0.0,18.0,12.0,174.746,10.0,14.0
6,6,2025/03/23 13:59:56,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,200.0,100.0,773.0,1.0,0.0,163.4945,93.0,228.2,0.0,1.0,0,8.64,30.0,0.0,10.0,0.975,100.0,6.0,28.0,1.8,30.0,5.0,14.0,22.0,590.0,0.0,18.0,12.0,174.746,10.0,14.0
7,7,2025/03/23 14:00:14,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,200.0,100.0,773.0,1.0,0.0,163.4945,93.0,228.2,0.0,2.0,0,8.64,30.0,0.0,10.0,0.975,100.0,7.0,28.0,1.8,30.0,5.0,14.0,22.0,590.0,0.0,18.0,12.0,174.746,10.0,14.0
8,8,2025/03/23 14:00:32,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,200.0,100.0,773.0,1.0,0.0,163.4945,93.0,228.2,0.0,1.0,0,8.64,30.0,0.0,10.0,0.975,100.0,8.0,28.0,1.8,30.0,5.0,14.0,22.0,590.0,0.0,18.0,12.0,174.746,10.0,14.0
9,9,2025/03/23 14:00:51,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,200.0,100.0,773.0,1.0,0.0,163.4945,93.0,228.2,0.0,0.0,0,8.64,30.0,0.0,10.0,0.975,100.0,0.0,28.0,1.8,30.0,5.0,14.0,22.0,590.0,0.0,18.0,12.0,174.746,10.0,14.0
10,10,2025/03/23 14:01:09,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,200.0,100.0,773.0,1.0,0.0,163.4945,93.0,228.2,0.0,2.0,0,8.64,30.0,0.0,10.0,0.975,100.0,1.0,28.0,1.8,30.0,5.0,14.0,22.0,590.0,0.0,18.0,12.0,174.746,10.0,14.0
11,11,2025/03/23 14:01:27,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,200.0,100.0,773.0,1.0,0.0,163.4945,93.0,228.2,0.0,1.0,0,8.64,30.0,0.0,10.0,0.975,100.0,2.0,28.0,1.8,30.0,5.0,14.0,22.0,590.0,0.0,18.0,12.0,174.746,10.0,14.0
