shot_idx,shot_serial,shot_start_time,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.UnloadLatticeDMD1Power,LocalVariables.DMDID,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LoadWithDmd1InitialPower,LocalVariables.XbarFrequency,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,LocalVariables.ImagingBlowOutID,LocalVariables.ScanID4,LocalVariables.ShotTypeID,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalPulseVariables2.LatticeMicrowaveFrequency,LocalVariables.DMDID2,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime
0,0,2025/03/23 19:11:45,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,0.0,0.0,0.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
1,1,2025/03/23 19:12:02,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,1.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
2,2,2025/03/23 19:12:21,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,2.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
3,3,2025/03/23 19:12:39,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,3.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
4,4,2025/03/23 19:12:57,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,4.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
5,5,2025/03/23 19:13:15,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,5.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
6,6,2025/03/23 19:13:34,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,6.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
7,7,2025/03/23 19:13:52,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,7.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
8,8,2025/03/23 19:14:10,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,8.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
9,9,2025/03/23 19:14:28,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,0.0,0.0,0.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
10,10,2025/03/23 19:14:46,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,1.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
11,11,2025/03/23 19:15:04,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,2.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
12,12,2025/03/23 19:15:22,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,3.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
13,13,2025/03/23 19:15:40,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,4.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
14,14,2025/03/23 19:15:58,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,5.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
15,15,2025/03/23 19:16:16,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,6.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
16,16,2025/03/23 19:16:35,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,7.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
17,17,2025/03/23 19:16:53,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,8.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
18,18,2025/03/23 19:17:11,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,0.0,0.0,0.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
19,19,2025/03/23 19:17:29,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,1.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
20,20,2025/03/23 19:17:47,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,2.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
21,21,2025/03/23 19:18:05,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,3.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
22,22,2025/03/23 19:18:24,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,4.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
23,23,2025/03/23 19:18:42,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,5.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
24,24,2025/03/23 19:19:00,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,6.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
25,25,2025/03/23 19:19:18,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,7.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
26,26,2025/03/23 19:19:36,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,8.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
27,27,2025/03/23 19:19:54,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,0.0,0.0,0.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
