shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,LocalVariables.ShotTypeID,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,LocalVariables.DMDID,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,LocalVariables.ScanID4,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,LocalVariables.ImagingBlowOutID,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.FourthDMD0RampPower,LocalVariables.XbarFrequency,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,LocalVariables.DMDID2,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower
0,0,2025/03/23 21:23:39,30.0,200.0,0.0,0.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,0.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
1,1,2025/03/23 21:23:57,30.0,200.0,0.0,1.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,2.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
2,2,2025/03/23 21:24:16,30.0,200.0,0.0,2.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,1.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
3,3,2025/03/23 21:24:35,30.0,200.0,0.0,3.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,2.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
4,4,2025/03/23 21:24:54,30.0,200.0,0.0,4.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,1.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
5,5,2025/03/23 21:25:14,30.0,200.0,0.0,5.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,2.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
6,6,2025/03/23 21:25:32,30.0,200.0,0.0,6.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,1.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
7,7,2025/03/23 21:25:51,30.0,200.0,0.0,7.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,2.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
8,8,2025/03/23 21:26:10,30.0,200.0,0.0,8.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,1.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
9,9,2025/03/23 21:26:29,30.0,200.0,0.0,0.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,0.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
10,10,2025/03/23 21:26:47,30.0,200.0,0.0,1.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,2.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
11,11,2025/03/23 21:27:06,30.0,200.0,0.0,2.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,1.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
12,12,2025/03/23 21:27:25,30.0,200.0,0.0,3.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,2.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
13,13,2025/03/23 21:27:44,30.0,200.0,0.0,4.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,1.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
14,14,2025/03/23 21:28:02,30.0,200.0,0.0,5.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,2.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
15,15,2025/03/23 21:28:21,30.0,200.0,0.0,6.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,1.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
