shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.isUnloadReloadBI,LocalVariables.ShotTypeID,LocalVariables.XbarFrequency,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,LocalVariables.DMDID2,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,LocalVariables.ImagingBlowOutID,LocalVariables.ScanID4,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,LocalVariables.DMDID,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalPulseVariables2.LatticeMicrowaveDuration
0,0,2025/03/23 23:51:22,10.0,200.0,12.0,14.0,163.4945,100.0,0,0.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,0.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
1,1,2025/03/23 23:51:40,10.0,200.0,12.0,14.0,163.4945,100.0,0,1.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,2.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
2,2,2025/03/23 23:51:58,10.0,200.0,12.0,14.0,163.4945,100.0,0,2.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,1.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
3,3,2025/03/23 23:52:17,10.0,200.0,12.0,14.0,163.4945,100.0,0,3.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,2.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
4,4,2025/03/23 23:52:35,10.0,200.0,12.0,14.0,163.4945,100.0,0,4.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,1.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
5,5,2025/03/23 23:52:53,10.0,200.0,12.0,14.0,163.4945,100.0,0,5.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,2.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
6,6,2025/03/23 23:53:11,10.0,200.0,12.0,14.0,163.4945,100.0,0,6.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,1.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
7,7,2025/03/23 23:53:29,10.0,200.0,12.0,14.0,163.4945,100.0,0,7.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,2.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
8,8,2025/03/23 23:53:47,10.0,200.0,12.0,14.0,163.4945,100.0,0,8.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,1.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
9,9,2025/03/23 23:54:05,10.0,200.0,12.0,14.0,163.4945,100.0,0,0.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,0.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
