shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,LocalVariables.DMDID2,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.FourthDMD0RampPower,LocalVariables.ScanID4,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,LocalVariables.XbarFrequency,LocalVariables.DMDID,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,LocalVariables.ShotTypeID,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.Dmd0SecondPatternFilename
0,0,2025/03/24 06:23:54,30.0,100.0,30.0,93.0,0.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,0.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
1,1,2025/03/24 06:24:12,30.0,100.0,30.0,93.0,2.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,1.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
2,2,2025/03/24 06:24:30,30.0,100.0,30.0,93.0,1.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,2.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
3,3,2025/03/24 06:24:48,30.0,100.0,30.0,93.0,2.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,3.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
4,4,2025/03/24 06:25:07,30.0,100.0,30.0,93.0,1.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,4.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
5,5,2025/03/24 06:25:25,30.0,100.0,30.0,93.0,2.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,5.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
6,6,2025/03/24 06:25:43,30.0,100.0,30.0,93.0,1.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,6.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
7,7,2025/03/24 06:26:01,30.0,100.0,30.0,93.0,2.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,7.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
8,8,2025/03/24 06:26:19,30.0,100.0,30.0,93.0,1.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,8.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
9,9,2025/03/24 06:26:38,30.0,100.0,30.0,93.0,0.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,0.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
10,10,2025/03/24 06:26:56,30.0,100.0,30.0,93.0,2.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,1.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
11,11,2025/03/24 06:27:14,30.0,100.0,30.0,93.0,1.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,2.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
12,12,2025/03/24 06:27:32,30.0,100.0,30.0,93.0,2.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,3.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
13,13,2025/03/24 06:27:50,30.0,100.0,30.0,93.0,1.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,4.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
14,14,2025/03/24 06:28:08,30.0,100.0,30.0,93.0,2.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,5.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
15,15,2025/03/24 06:28:26,30.0,100.0,30.0,93.0,1.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,6.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
16,16,2025/03/24 06:28:44,30.0,100.0,30.0,93.0,2.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,7.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
17,17,2025/03/24 06:29:02,30.0,100.0,30.0,93.0,1.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,8.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
18,18,2025/03/24 06:29:21,30.0,100.0,30.0,93.0,0.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,0.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
19,19,2025/03/24 06:29:39,30.0,100.0,30.0,93.0,2.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,1.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
20,20,2025/03/24 06:29:57,30.0,100.0,30.0,93.0,1.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,2.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
21,21,2025/03/24 06:30:15,30.0,100.0,30.0,93.0,2.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,3.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
22,22,2025/03/24 06:30:33,30.0,100.0,30.0,93.0,1.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,4.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
23,23,2025/03/24 06:30:51,30.0,100.0,30.0,93.0,2.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,5.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
24,24,2025/03/24 06:31:09,30.0,100.0,30.0,93.0,1.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,6.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
25,25,2025/03/24 06:31:27,30.0,100.0,30.0,93.0,2.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,7.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
26,26,2025/03/24 06:31:46,30.0,100.0,30.0,93.0,1.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,8.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
27,27,2025/03/24 06:32:04,30.0,100.0,30.0,93.0,0.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,0.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
28,28,2025/03/24 06:32:22,30.0,100.0,30.0,93.0,2.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,1.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
29,29,2025/03/24 06:32:40,30.0,100.0,30.0,93.0,1.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,2.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
30,30,2025/03/24 06:32:58,30.0,100.0,30.0,93.0,2.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,3.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
31,31,2025/03/24 06:33:16,30.0,100.0,30.0,93.0,1.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,4.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
32,32,2025/03/24 06:33:35,30.0,100.0,30.0,93.0,2.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,5.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
33,33,2025/03/24 06:33:53,30.0,100.0,30.0,93.0,1.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,6.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
34,34,2025/03/24 06:34:12,30.0,100.0,30.0,93.0,2.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,7.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
35,35,2025/03/24 06:34:30,30.0,100.0,30.0,93.0,1.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,8.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
36,36,2025/03/24 06:34:48,30.0,100.0,30.0,93.0,0.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,0.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
37,37,2025/03/24 06:35:06,30.0,100.0,30.0,93.0,2.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,1.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
38,38,2025/03/24 06:35:24,30.0,100.0,30.0,93.0,1.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,2.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
39,39,2025/03/24 06:35:42,30.0,100.0,30.0,93.0,2.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,3.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
40,40,2025/03/24 06:36:00,30.0,100.0,30.0,93.0,1.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,4.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
41,41,2025/03/24 06:36:18,30.0,100.0,30.0,93.0,2.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,5.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
42,42,2025/03/24 06:36:36,30.0,100.0,30.0,93.0,1.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,6.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
43,43,2025/03/24 06:36:54,30.0,100.0,30.0,93.0,2.0,14.0,12.0,18.0,0.975,0,14.0,35.0,0.0,1.8,174.746,163.4945,8.64,0.0,0.0,10.0,10.0,1.0,228.2,590.0,773.0,0.0,22.0,0.0,28.0,5.0,100.0,7.0,200.0,b'250316_dmd0_iterative_compensation_pinning.pkl'
