shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,LocalVariables.DMDID,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,LocalVariables.ScanID4,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.FourthDMD0RampPower,LocalVariables.DMDID2,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalPulseVariables2.LatticeMicrowaveDuration,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,LocalVariables.XbarFrequency,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,LocalVariables.ShotTypeID,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.ThirdDMD1RampPower
0,0,2025/03/24 14:55:52,35.0,18.0,100.0,590.0,0.975,28.0,0.0,0,0.0,12.0,0.0,10.0,8.64,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,5.0,93.0,30.0,1.0,0.0,14.0,174.746,100.0,30.0,773.0,10.0,200.0,0.0,228.2,22.0,163.4945,2.2
1,1,2025/03/24 14:56:10,35.0,18.0,100.0,590.0,0.975,28.0,0.0,0,0.0,12.0,0.0,10.0,8.64,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,5.0,93.0,30.0,1.0,2.0,14.0,174.746,100.0,30.0,773.0,10.0,200.0,1.0,228.2,22.0,163.4945,2.2
2,2,2025/03/24 14:56:28,35.0,18.0,100.0,590.0,0.975,28.0,0.0,0,0.0,12.0,0.0,10.0,8.64,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,5.0,93.0,30.0,1.0,1.0,14.0,174.746,100.0,30.0,773.0,10.0,200.0,2.0,228.2,22.0,163.4945,2.2
3,3,2025/03/24 14:56:46,35.0,18.0,100.0,590.0,0.975,28.0,0.0,0,0.0,12.0,0.0,10.0,8.64,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,5.0,93.0,30.0,1.0,2.0,14.0,174.746,100.0,30.0,773.0,10.0,200.0,3.0,228.2,22.0,163.4945,2.2
4,4,2025/03/24 14:57:04,35.0,18.0,100.0,590.0,0.975,28.0,0.0,0,0.0,12.0,0.0,10.0,8.64,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,5.0,93.0,30.0,1.0,1.0,14.0,174.746,100.0,30.0,773.0,10.0,200.0,4.0,228.2,22.0,163.4945,2.2
5,5,2025/03/24 14:57:23,35.0,18.0,100.0,590.0,0.975,28.0,0.0,0,0.0,12.0,0.0,10.0,8.64,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,5.0,93.0,30.0,1.0,2.0,14.0,174.746,100.0,30.0,773.0,10.0,200.0,5.0,228.2,22.0,163.4945,2.2
6,6,2025/03/24 14:57:41,35.0,18.0,100.0,590.0,0.975,28.0,0.0,0,0.0,12.0,0.0,10.0,8.64,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,5.0,93.0,30.0,1.0,1.0,14.0,174.746,100.0,30.0,773.0,10.0,200.0,6.0,228.2,22.0,163.4945,2.2
7,7,2025/03/24 14:57:59,35.0,18.0,100.0,590.0,0.975,28.0,0.0,0,0.0,12.0,0.0,10.0,8.64,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,5.0,93.0,30.0,1.0,2.0,14.0,174.746,100.0,30.0,773.0,10.0,200.0,7.0,228.2,22.0,163.4945,2.2
8,8,2025/03/24 14:58:17,35.0,18.0,100.0,590.0,0.975,28.0,0.0,0,0.0,12.0,0.0,10.0,8.64,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,5.0,93.0,30.0,1.0,1.0,14.0,174.746,100.0,30.0,773.0,10.0,200.0,8.0,228.2,22.0,163.4945,2.2
9,9,2025/03/24 14:58:35,35.0,18.0,100.0,590.0,0.975,28.0,0.0,0,0.0,12.0,0.0,10.0,8.64,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,14.0,5.0,93.0,30.0,1.0,0.0,14.0,174.746,100.0,30.0,773.0,10.0,200.0,0.0,228.2,22.0,163.4945,2.2
