shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.isUnloadReloadBI,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,LocalVariables.DMDID2,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,LocalVariables.ImagingBlowOutID,LocalVariables.ScanID4,LocalVariables.DMDID,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.FinalStateGradientCurrent,LocalVariables.XbarFrequency,LocalVariables.ShotTypeID,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower
0,0,2025/03/25 01:12:28,93.0,10.0,200.0,1.0,100.0,30.0,18.0,0,22.0,100.0,2.1,590.0,14.0,30.0,5.0,0.0,28.0,0.0,0.0,0.0,0.0,8.64,0.975,228.2,14.0,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,773.0,0.0,174.746,0.0,12.0,163.4945
1,1,2025/03/25 01:12:46,93.0,10.0,200.0,1.0,100.0,30.0,18.0,0,22.0,100.0,2.1,590.0,14.0,30.0,5.0,0.0,28.0,0.0,2.0,0.0,0.0,8.64,0.975,228.2,14.0,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,773.0,1.0,174.746,0.0,12.0,163.4945
2,2,2025/03/25 01:13:03,93.0,10.0,200.0,1.0,100.0,30.0,18.0,0,22.0,100.0,2.1,590.0,14.0,30.0,5.0,0.0,28.0,0.0,1.0,0.0,0.0,8.64,0.975,228.2,14.0,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,773.0,2.0,174.746,0.0,12.0,163.4945
3,3,2025/03/25 01:13:22,93.0,10.0,200.0,1.0,100.0,30.0,18.0,0,22.0,100.0,2.1,590.0,14.0,30.0,5.0,0.0,28.0,0.0,2.0,0.0,0.0,8.64,0.975,228.2,14.0,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,773.0,3.0,174.746,0.0,12.0,163.4945
4,4,2025/03/25 01:13:40,93.0,10.0,200.0,1.0,100.0,30.0,18.0,0,22.0,100.0,2.1,590.0,14.0,30.0,5.0,0.0,28.0,0.0,1.0,0.0,0.0,8.64,0.975,228.2,14.0,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,773.0,4.0,174.746,0.0,12.0,163.4945
5,5,2025/03/25 01:13:59,93.0,10.0,200.0,1.0,100.0,30.0,18.0,0,22.0,100.0,2.1,590.0,14.0,30.0,5.0,0.0,28.0,0.0,2.0,0.0,0.0,8.64,0.975,228.2,14.0,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,773.0,5.0,174.746,0.0,12.0,163.4945
6,6,2025/03/25 01:14:17,93.0,10.0,200.0,1.0,100.0,30.0,18.0,0,22.0,100.0,2.1,590.0,14.0,30.0,5.0,0.0,28.0,0.0,1.0,0.0,0.0,8.64,0.975,228.2,14.0,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,773.0,6.0,174.746,0.0,12.0,163.4945
7,7,2025/03/25 01:14:35,93.0,10.0,200.0,1.0,100.0,30.0,18.0,0,22.0,100.0,2.1,590.0,14.0,30.0,5.0,0.0,28.0,0.0,2.0,0.0,0.0,8.64,0.975,228.2,14.0,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,773.0,7.0,174.746,0.0,12.0,163.4945
8,8,2025/03/25 01:14:53,93.0,10.0,200.0,1.0,100.0,30.0,18.0,0,22.0,100.0,2.1,590.0,14.0,30.0,5.0,0.0,28.0,0.0,1.0,0.0,0.0,8.64,0.975,228.2,14.0,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,773.0,8.0,174.746,0.0,12.0,163.4945
9,9,2025/03/25 01:15:11,93.0,10.0,200.0,1.0,100.0,30.0,18.0,0,22.0,100.0,2.1,590.0,14.0,30.0,5.0,0.0,28.0,0.0,0.0,0.0,0.0,8.64,0.975,228.2,14.0,35.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,773.0,0.0,174.746,0.0,12.0,163.4945
