shot_idx,shot_serial,shot_start_time,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalImagingVariables2.SpinBlowNorthwestPower,LocalVariables.ShotTypeID,LocalVariables.DMDID2,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.Dmd1PatternFilename,GlobalLatticeVariables2.NematicLatticeModulationFrequency,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,LocalVariables.ScanID5,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,LocalVariables.ScanID4,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,LocalVariables.XbarFrequency,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.isUnloadReloadBI,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,LocalVariables.DMDID,GlobalLatticeVariables2.ImagingLatticeFreezeTime,GlobalMotVariables2.MotDetuningCompressed,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power
0,0,2025/06/11 12:07:28,0.78,0.0,1.0,0.033,1.5,0.0,0.0,0.48,0.009000000000000001,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',100000.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,4.9999999999999996e-06,10.0,0.009380000000000001,0.0125,1.3,0.2,0.05,854000000.0,0.0,0.0,0.0,0.0014,0.0,0.018000000000000002,2.5,0.03,0.0,0.975,932600000.0,0.0,450000000.0,228200000.0,0.3,0.0,-1.4999999999999999e-05,0.0,0.0,500.0,300000000.0,773000000.0,0.1,590.0,9.999999999999999e-06,2.9999999999999997e-05,0.0125,0.03,0.001,0.02,0.0,0.029,0,0.0,93.0,0.005,0.0,0.02,-6000000.0,0.022,550.0,1.0,0.174746,0.1634945,0,620000000.0,0.0125
1,1,2025/06/11 12:07:45,0.78,0.0,1.0,0.033,1.5,1.0,0.0,0.48,0.009000000000000001,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',100000.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,4.9999999999999996e-06,10.0,0.009380000000000001,0.0125,1.3,0.2,0.05,854000000.0,0.0,0.0,0.0,0.0014,0.7,0.018000000000000002,2.5,0.03,0.0,0.975,932600000.0,0.0,450000000.0,228200000.0,0.3,0.0,-1.4999999999999999e-05,0.0,0.0,500.0,527000000.0,773000000.0,0.1,590.0,9.999999999999999e-06,2.9999999999999997e-05,0.0125,0.03,0.001,0.02,0.0,0.029,0,2.0,93.0,0.005,0.0,0.02,-6000000.0,0.022,550.0,1.0,0.174746,0.1634945,0,620000000.0,0.0125
2,2,2025/06/11 12:08:02,0.78,0.0,1.0,0.033,1.5,2.0,0.0,0.48,0.009000000000000001,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',100000.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,4.9999999999999996e-06,10.0,0.009380000000000001,0.0125,1.3,0.2,0.05,854000000.0,0.0,0.0,0.0,0.0014,0.7,0.018000000000000002,2.5,0.03,0.0,0.975,932600000.0,0.0,450000000.0,228200000.0,0.3,0.0,-1.4999999999999999e-05,0.0,0.0,500.0,450000000.0,773000000.0,0.1,590.0,9.999999999999999e-06,2.9999999999999997e-05,0.0125,0.03,0.001,0.02,0.0,0.029,0,1.0,93.0,0.005,0.0,0.02,-6000000.0,0.022,550.0,1.0,0.174746,0.1634945,0,620000000.0,0.0125
3,3,2025/06/11 12:08:20,0.78,0.0,1.0,0.033,1.5,3.0,0.0,0.48,0.009000000000000001,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',100000.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,4.9999999999999996e-06,10.0,0.009380000000000001,0.0125,1.3,0.2,0.05,854000000.0,0.0,0.0,0.0,0.0014,0.7,0.018000000000000002,2.5,0.03,0.0,0.975,932600000.0,0.0,450000000.0,228200000.0,0.3,0.0,-1.4999999999999999e-05,0.0,0.0,500.0,527000000.0,773000000.0,0.1,590.0,9.999999999999999e-06,2.9999999999999997e-05,0.0125,0.03,0.001,0.02,0.0,0.029,0,2.0,93.0,0.005,0.0,0.02,-6000000.0,0.022,550.0,1.0,0.174746,0.1634945,0,620000000.0,0.0125
4,4,2025/06/11 12:08:37,0.78,0.0,1.0,0.033,1.5,4.0,0.0,0.48,0.009000000000000001,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',100000.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,4.9999999999999996e-06,10.0,0.009380000000000001,0.0125,1.3,0.2,0.05,854000000.0,0.0,0.0,0.0,0.0014,0.7,0.018000000000000002,2.5,0.03,0.0,0.975,932600000.0,0.0,450000000.0,228200000.0,0.3,0.0,-1.4999999999999999e-05,0.0,0.0,500.0,450000000.0,773000000.0,0.1,590.0,9.999999999999999e-06,2.9999999999999997e-05,0.0125,0.03,0.001,0.02,0.0,0.029,0,1.0,93.0,0.005,0.0,0.02,-6000000.0,0.022,550.0,1.0,0.174746,0.1634945,0,620000000.0,0.0125
5,5,2025/06/11 12:08:56,0.78,0.0,1.0,0.033,1.5,5.0,0.0,0.48,0.009000000000000001,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',100000.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,4.9999999999999996e-06,10.0,0.009380000000000001,0.0125,1.3,0.2,0.05,854000000.0,0.0,0.0,0.0,0.0014,0.7,0.018000000000000002,2.5,0.03,0.0,0.975,932600000.0,0.0,450000000.0,228200000.0,0.3,0.0,-1.4999999999999999e-05,0.0,0.0,500.0,527000000.0,773000000.0,0.1,590.0,9.999999999999999e-06,2.9999999999999997e-05,0.0125,0.03,0.001,0.02,0.0,0.029,0,2.0,93.0,0.005,0.0,0.02,-6000000.0,0.022,550.0,1.0,0.174746,0.1634945,0,620000000.0,0.0125
6,6,2025/06/11 12:09:12,0.78,0.0,1.0,0.033,1.5,6.0,0.0,0.48,0.009000000000000001,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',100000.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,4.9999999999999996e-06,10.0,0.009380000000000001,0.0125,1.3,0.2,0.05,854000000.0,0.0,0.0,0.0,0.0014,0.7,0.018000000000000002,2.5,0.03,0.0,0.975,932600000.0,0.0,450000000.0,228200000.0,0.3,0.0,-1.4999999999999999e-05,0.0,0.0,500.0,450000000.0,773000000.0,0.1,590.0,9.999999999999999e-06,2.9999999999999997e-05,0.0125,0.03,0.001,0.02,0.0,0.029,0,1.0,93.0,0.005,0.0,0.02,-6000000.0,0.022,550.0,1.0,0.174746,0.1634945,0,620000000.0,0.0125
7,7,2025/06/11 12:09:30,0.78,0.0,1.0,0.033,1.5,7.0,0.0,0.48,0.009000000000000001,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',100000.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,4.9999999999999996e-06,10.0,0.009380000000000001,0.0125,1.3,0.2,0.05,854000000.0,0.0,0.0,0.0,0.0014,0.7,0.018000000000000002,2.5,0.03,0.0,0.975,932600000.0,0.0,450000000.0,228200000.0,0.3,0.0,-1.4999999999999999e-05,0.0,0.0,500.0,527000000.0,773000000.0,0.1,590.0,9.999999999999999e-06,2.9999999999999997e-05,0.0125,0.03,0.001,0.02,0.0,0.029,0,2.0,93.0,0.005,0.0,0.02,-6000000.0,0.022,550.0,1.0,0.174746,0.1634945,0,620000000.0,0.0125
8,8,2025/06/11 12:09:47,0.78,0.0,1.0,0.033,1.5,8.0,0.0,0.48,0.009000000000000001,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',100000.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,4.9999999999999996e-06,10.0,0.009380000000000001,0.0125,1.3,0.2,0.05,854000000.0,0.0,0.0,0.0,0.0014,0.7,0.018000000000000002,2.5,0.03,0.0,0.975,932600000.0,0.0,450000000.0,228200000.0,0.3,0.0,-1.4999999999999999e-05,0.0,0.0,500.0,450000000.0,773000000.0,0.1,590.0,9.999999999999999e-06,2.9999999999999997e-05,0.0125,0.03,0.001,0.02,0.0,0.029,0,1.0,93.0,0.005,0.0,0.02,-6000000.0,0.022,550.0,1.0,0.174746,0.1634945,0,620000000.0,0.0125
9,9,2025/06/11 12:10:04,0.78,0.0,1.0,0.033,1.5,9.0,0.0,0.48,0.009000000000000001,b'250610_dmd0_dense_compensation_pinning_0.48_1.0_8_30k.pkl',100000.0,b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',200.0,4.9999999999999996e-06,10.0,0.009380000000000001,0.0125,1.3,0.2,0.05,854000000.0,0.0,0.0,0.0,0.0016,0.0,0.018000000000000002,2.5,0.03,0.0,0.975,932600000.0,0.0,450000000.0,228200000.0,0.3,0.0,-1.4999999999999999e-05,0.0,0.0,500.0,300000000.0,773000000.0,0.1,590.0,9.999999999999999e-06,2.9999999999999997e-05,0.0125,0.03,0.001,0.02,0.0,0.029,0,0.0,93.0,0.005,0.0,0.02,-6000000.0,0.022,550.0,1.0,0.174746,0.1634945,0,620000000.0,0.0125
