shot_idx,shot_serial,shot_start_time,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,LocalVariables.ScanID4,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.Dmd1PatternFilename,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,LocalVariables.ShotTypeID,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalLatticeVariables2.SecondDMD1RampTime,LocalVariables.ScanID5,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.LatticeFreezeRampTime,LocalVariables.XbarFrequency,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalMotVariables2.MotDetuningCompressed,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalLatticeVariables2.ImagingLatticeFreezeTime,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,LocalVariables.ImagingBlowOutID,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalPulseVariables2.LatticeMicrowaveFrequency,LocalVariables.DMDID,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.NematicLatticeModulationFrequency,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,LocalVariables.DMDID2,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime
0,0,2025/06/11 23:41:59,450000000.0,0.1634945,0.0125,0.0,1.0,9.999999999999999e-06,0.0,2.5,0.009000000000000001,-1.4999999999999999e-05,0.0,932600000.0,0.2,b'250610_dmd0_iterative_compensation_pinning.pkl',b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.0,620000000.0,0.174746,0.975,0.018000000000000002,93.0,0.0,0.3,10.0,0.48,0.02,0.0,854000000.0,4.9999999999999996e-06,2.9999999999999997e-05,773000000.0,0.03,-6000000.0,550.0,0,0.0,0.78,0.0,0.02,0.05,0.03,1.5,0.022,0.009380000000000001,0.001,300000000.0,0.1,0.002,590.0,0.0,500.0,228200000.0,0.0,0.0,1.0,1.3,0.0,0.0,100000.0,200.0,0.005,0.0,0,0.0125,0.033,0.0125,0.029,0.0
1,1,2025/06/11 23:42:16,450000000.0,0.1634945,0.0125,0.0,1.0,9.999999999999999e-06,0.0,2.5,0.009000000000000001,-1.4999999999999999e-05,0.0,932600000.0,0.2,b'250610_dmd0_iterative_compensation_pinning.pkl',b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.7,620000000.0,0.174746,0.975,0.018000000000000002,93.0,1.0,0.3,10.0,0.48,0.02,0.0,854000000.0,4.9999999999999996e-06,2.9999999999999997e-05,773000000.0,0.03,-6000000.0,550.0,0,0.0,0.78,0.0,0.02,0.05,0.03,1.5,0.022,0.009380000000000001,0.001,527000000.0,0.1,0.002,590.0,2.0,500.0,228200000.0,0.0,0.0,1.0,1.3,0.0,0.0,100000.0,200.0,0.005,0.0,0,0.0125,0.033,0.0125,0.029,0.0
2,2,2025/06/11 23:42:34,450000000.0,0.1634945,0.0125,0.0,1.0,9.999999999999999e-06,0.0,2.5,0.009000000000000001,-1.4999999999999999e-05,0.0,932600000.0,0.2,b'250610_dmd0_iterative_compensation_pinning.pkl',b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.7,620000000.0,0.174746,0.975,0.018000000000000002,93.0,2.0,0.3,10.0,0.48,0.02,0.0,854000000.0,4.9999999999999996e-06,2.9999999999999997e-05,773000000.0,0.03,-6000000.0,550.0,0,0.0,0.78,0.0,0.02,0.05,0.03,1.5,0.022,0.009380000000000001,0.001,450000000.0,0.1,0.002,590.0,1.0,500.0,228200000.0,0.0,0.0,1.0,1.3,0.0,0.0,100000.0,200.0,0.005,0.0,0,0.0125,0.033,0.0125,0.029,0.0
3,3,2025/06/11 23:42:51,450000000.0,0.1634945,0.0125,0.0,1.0,9.999999999999999e-06,0.0,2.5,0.009000000000000001,-1.4999999999999999e-05,0.0,932600000.0,0.2,b'250610_dmd0_iterative_compensation_pinning.pkl',b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.7,620000000.0,0.174746,0.975,0.018000000000000002,93.0,3.0,0.3,10.0,0.48,0.02,0.0,854000000.0,4.9999999999999996e-06,2.9999999999999997e-05,773000000.0,0.03,-6000000.0,550.0,0,0.0,0.78,0.0,0.02,0.05,0.03,1.5,0.022,0.009380000000000001,0.001,527000000.0,0.1,0.002,590.0,2.0,500.0,228200000.0,0.0,0.0,1.0,1.3,0.0,0.0,100000.0,200.0,0.005,0.0,0,0.0125,0.033,0.0125,0.029,0.0
4,4,2025/06/11 23:43:09,450000000.0,0.1634945,0.0125,0.0,1.0,9.999999999999999e-06,0.0,2.5,0.009000000000000001,-1.4999999999999999e-05,0.0,932600000.0,0.2,b'250610_dmd0_iterative_compensation_pinning.pkl',b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.7,620000000.0,0.174746,0.975,0.018000000000000002,93.0,4.0,0.3,10.0,0.48,0.02,0.0,854000000.0,4.9999999999999996e-06,2.9999999999999997e-05,773000000.0,0.03,-6000000.0,550.0,0,0.0,0.78,0.0,0.02,0.05,0.03,1.5,0.022,0.009380000000000001,0.001,450000000.0,0.1,0.002,590.0,1.0,500.0,228200000.0,0.0,0.0,1.0,1.3,0.0,0.0,100000.0,200.0,0.005,0.0,0,0.0125,0.033,0.0125,0.029,0.0
5,5,2025/06/11 23:43:27,450000000.0,0.1634945,0.0125,0.0,1.0,9.999999999999999e-06,0.0,2.5,0.009000000000000001,-1.4999999999999999e-05,0.0,932600000.0,0.2,b'250610_dmd0_iterative_compensation_pinning.pkl',b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.7,620000000.0,0.174746,0.975,0.018000000000000002,93.0,5.0,0.3,10.0,0.48,0.02,0.0,854000000.0,4.9999999999999996e-06,2.9999999999999997e-05,773000000.0,0.03,-6000000.0,550.0,0,0.0,0.78,0.0,0.02,0.05,0.03,1.5,0.022,0.009380000000000001,0.001,527000000.0,0.1,0.002,590.0,2.0,500.0,228200000.0,0.0,0.0,1.0,1.3,0.0,0.0,100000.0,200.0,0.005,0.0,0,0.0125,0.033,0.0125,0.029,0.0
6,6,2025/06/11 23:43:44,450000000.0,0.1634945,0.0125,0.0,1.0,9.999999999999999e-06,0.0,2.5,0.009000000000000001,-1.4999999999999999e-05,0.0,932600000.0,0.2,b'250610_dmd0_iterative_compensation_pinning.pkl',b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.7,620000000.0,0.174746,0.975,0.018000000000000002,93.0,6.0,0.3,10.0,0.48,0.02,0.0,854000000.0,4.9999999999999996e-06,2.9999999999999997e-05,773000000.0,0.03,-6000000.0,550.0,0,0.0,0.78,0.0,0.02,0.05,0.03,1.5,0.022,0.009380000000000001,0.001,450000000.0,0.1,0.002,590.0,1.0,500.0,228200000.0,0.0,0.0,1.0,1.3,0.0,0.0,100000.0,200.0,0.005,0.0,0,0.0125,0.033,0.0125,0.029,0.0
7,7,2025/06/11 23:44:00,450000000.0,0.1634945,0.0125,0.0,1.0,9.999999999999999e-06,0.0,2.5,0.009000000000000001,-1.4999999999999999e-05,0.0,932600000.0,0.2,b'250610_dmd0_iterative_compensation_pinning.pkl',b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.7,620000000.0,0.174746,0.975,0.018000000000000002,93.0,7.0,0.3,10.0,0.48,0.02,0.0,854000000.0,4.9999999999999996e-06,2.9999999999999997e-05,773000000.0,0.03,-6000000.0,550.0,0,0.0,0.78,0.0,0.02,0.05,0.03,1.5,0.022,0.009380000000000001,0.001,527000000.0,0.1,0.002,590.0,2.0,500.0,228200000.0,0.0,0.0,1.0,1.3,0.0,0.0,100000.0,200.0,0.005,0.0,0,0.0125,0.033,0.0125,0.029,0.0
8,8,2025/06/11 23:44:17,450000000.0,0.1634945,0.0125,0.0,1.0,9.999999999999999e-06,0.0,2.5,0.009000000000000001,-1.4999999999999999e-05,0.0,932600000.0,0.2,b'250610_dmd0_iterative_compensation_pinning.pkl',b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.7,620000000.0,0.174746,0.975,0.018000000000000002,93.0,8.0,0.3,10.0,0.48,0.02,0.0,854000000.0,4.9999999999999996e-06,2.9999999999999997e-05,773000000.0,0.03,-6000000.0,550.0,0,0.0,0.78,0.0,0.02,0.05,0.03,1.5,0.022,0.009380000000000001,0.001,450000000.0,0.1,0.002,590.0,1.0,500.0,228200000.0,0.0,0.0,1.0,1.3,0.0,0.0,100000.0,200.0,0.005,0.0,0,0.0125,0.033,0.0125,0.029,0.0
9,9,2025/06/11 23:44:33,450000000.0,0.1634945,0.0125,0.0,1.0,9.999999999999999e-06,0.0,2.5,0.009000000000000001,-1.4999999999999999e-05,0.0,932600000.0,0.2,b'250610_dmd0_iterative_compensation_pinning.pkl',b'250610_dmd1_countersink_0.625_0.750_12_15k.pkl',0.0,620000000.0,0.174746,0.975,0.018000000000000002,93.0,9.0,0.3,10.0,0.48,0.02,0.0,854000000.0,4.9999999999999996e-06,2.9999999999999997e-05,773000000.0,0.03,-6000000.0,550.0,0,0.0,0.78,0.0,0.02,0.05,0.03,1.5,0.022,0.009380000000000001,0.001,300000000.0,0.1,0.0022,590.0,0.0,500.0,228200000.0,0.0,0.0,1.0,1.3,0.0,0.0,100000.0,200.0,0.005,0.0,0,0.0125,0.033,0.0125,0.029,0.0
