shot_idx,shot_start_time,LocalVariables.ImagingBlowOutID,LocalVariables.ShotTypeID,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalImagingVariables2.IsSkipSpinBlowOutLight,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning
0,2025/06/12 13:11:09,0.0,0.0,2.0,1,300.0
1,2025/06/12 13:11:25,2.0,1.0,2.0,0,527.0
2,2025/06/12 13:11:41,1.0,2.0,2.0,0,450.0
3,2025/06/12 13:11:57,2.0,3.0,2.0,0,527.0
4,2025/06/12 13:12:14,1.0,4.0,2.0,0,450.0
5,2025/06/12 13:12:31,2.0,5.0,2.0,0,527.0
6,2025/06/12 13:12:47,1.0,6.0,2.0,0,450.0
7,2025/06/12 13:13:04,2.0,7.0,2.0,0,527.0
8,2025/06/12 13:13:20,1.0,8.0,2.0,0,450.0
9,2025/06/12 13:13:37,0.0,9.0,2.2,1,300.0
10,2025/06/12 13:13:53,1.0,10.0,2.2,0,450.0
11,2025/06/12 13:14:09,2.0,11.0,2.2,0,527.0
12,2025/06/12 13:14:26,1.0,12.0,2.2,0,450.0
13,2025/06/12 13:14:42,2.0,13.0,2.2,0,527.0
14,2025/06/12 13:14:59,1.0,14.0,2.2,0,450.0
15,2025/06/12 13:15:15,2.0,14.999999999999998,2.2,0,527.0
16,2025/06/12 13:15:32,1.0,16.0,2.2,0,450.0
17,2025/06/12 13:15:48,2.0,17.0,2.2,0,527.0
18,2025/06/12 13:16:04,0.0,18.0,2.4,1,300.0
19,2025/06/12 13:16:21,2.0,19.0,2.4,0,527.0
20,2025/06/12 13:16:37,1.0,20.0,2.4,0,450.0
21,2025/06/12 13:16:53,2.0,21.0,2.4,0,527.0
22,2025/06/12 13:17:10,1.0,22.0,2.4,0,450.0
23,2025/06/12 13:17:26,2.0,23.0,2.4,0,527.0
24,2025/06/12 13:17:43,1.0,24.0,2.4,0,450.0
25,2025/06/12 13:17:59,2.0,25.000000000000004,2.4,0,527.0
26,2025/06/12 13:18:16,1.0,26.0,2.4,0,450.0
27,2025/06/12 13:18:32,0.0,27.0,2.6,1,300.0
28,2025/06/12 13:18:48,1.0,28.0,2.6,0,450.0
29,2025/06/12 13:19:05,2.0,29.0,2.6,0,527.0
30,2025/06/12 13:19:21,1.0,29.999999999999996,2.6,0,450.0
31,2025/06/12 13:19:37,2.0,31.0,2.6,0,527.0
32,2025/06/12 13:19:54,1.0,32.0,2.6,0,450.0
33,2025/06/12 13:20:10,2.0,33.0,2.6,0,527.0
34,2025/06/12 13:20:27,1.0,34.0,2.6,0,450.0
35,2025/06/12 13:20:43,2.0,35.0,2.6,0,527.0
36,2025/06/12 13:20:59,0.0,36.0,2.8,1,300.0
37,2025/06/12 13:21:16,2.0,37.0,2.8,0,527.0
38,2025/06/12 13:21:32,1.0,38.0,2.8,0,450.0
39,2025/06/12 13:21:48,2.0,39.0,2.8,0,527.0
40,2025/06/12 13:22:05,1.0,40.0,2.8,0,450.0
41,2025/06/12 13:22:21,2.0,41.0,2.8,0,527.0
42,2025/06/12 13:22:38,1.0,42.0,2.8,0,450.0
43,2025/06/12 13:22:54,2.0,43.0,2.8,0,527.0
