shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.ThirdDMD1RampPower,LocalVariables.ImagingBlowOutID
0,0,2025/06/13 12:23:29,0.0023,0.0
1,1,2025/06/13 12:23:46,0.0023,2.0
2,2,2025/06/13 12:24:04,0.0023,1.0
3,3,2025/06/13 12:24:22,0.0023,2.0
4,4,2025/06/13 12:24:41,0.0023,1.0
5,5,2025/06/13 12:24:59,0.0023,2.0
6,6,2025/06/13 12:25:18,0.0023,1.0
7,7,2025/06/13 12:25:36,0.0023,2.0
8,8,2025/06/13 12:25:54,0.0023,1.0
9,9,2025/06/13 12:26:12,0.0025,0.0
10,10,2025/06/13 12:26:30,0.0025,1.0
11,11,2025/06/13 12:26:49,0.0025,2.0
12,12,2025/06/13 12:27:07,0.0025,1.0
13,13,2025/06/13 12:27:25,0.0025,2.0
14,14,2025/06/13 12:27:43,0.0025,1.0
15,15,2025/06/13 12:28:01,0.0025,2.0
16,16,2025/06/13 12:28:19,0.0025,1.0
17,17,2025/06/13 12:28:38,0.0025,2.0
18,18,2025/06/13 12:28:56,0.0023,0.0
19,19,2025/06/13 12:29:14,0.0023,2.0
20,20,2025/06/13 12:29:32,0.0023,1.0
21,21,2025/06/13 12:29:51,0.0023,2.0
22,22,2025/06/13 12:30:09,0.0023,1.0
23,23,2025/06/13 12:30:27,0.0023,2.0
24,24,2025/06/13 12:30:45,0.0023,1.0
25,25,2025/06/13 12:31:03,0.0023,2.0
26,26,2025/06/13 12:31:22,0.0023,1.0
27,27,2025/06/13 12:31:40,0.0025,0.0
28,28,2025/06/13 12:31:58,0.0025,1.0
29,29,2025/06/13 12:32:16,0.0025,2.0
30,30,2025/06/13 12:32:34,0.0025,1.0
31,31,2025/06/13 12:32:53,0.0025,2.0
32,32,2025/06/13 12:33:11,0.0025,1.0
33,33,2025/06/13 12:33:29,0.0025,2.0
34,34,2025/06/13 12:33:47,0.0025,1.0
35,35,2025/06/13 12:34:05,0.0025,2.0
36,36,2025/06/13 12:34:24,0.0023,0.0
37,37,2025/06/13 12:34:42,0.0023,2.0
38,38,2025/06/13 12:35:00,0.0023,1.0
39,39,2025/06/13 12:35:18,0.0023,2.0
40,40,2025/06/13 12:35:36,0.0023,1.0
41,41,2025/06/13 12:35:55,0.0023,2.0
42,42,2025/06/13 12:36:13,0.0023,1.0
43,43,2025/06/13 12:36:31,0.0023,2.0
44,44,2025/06/13 12:36:49,0.0023,1.0
45,45,2025/06/13 12:37:07,0.0025,0.0
46,46,2025/06/13 12:37:25,0.0025,1.0
47,47,2025/06/13 12:37:44,0.0025,2.0
48,48,2025/06/13 12:38:02,0.0025,1.0
49,49,2025/06/13 12:38:20,0.0025,2.0
50,50,2025/06/13 12:38:38,0.0025,1.0
51,51,2025/06/13 12:38:56,0.0025,2.0
52,52,2025/06/13 12:39:15,0.0025,1.0
53,53,2025/06/13 12:39:33,0.0025,2.0
54,54,2025/06/13 12:39:51,0.0023,0.0
55,55,2025/06/13 12:40:09,0.0023,2.0
56,56,2025/06/13 12:40:27,0.0023,1.0
57,57,2025/06/13 12:40:46,0.0023,2.0
58,58,2025/06/13 12:41:04,0.0023,1.0
59,59,2025/06/13 12:41:22,0.0023,2.0
60,60,2025/06/13 12:41:40,0.0023,1.0
61,61,2025/06/13 12:41:58,0.0023,2.0
62,62,2025/06/13 12:42:16,0.0023,1.0
63,63,2025/06/13 12:42:35,0.0025,0.0
64,64,2025/06/13 12:42:53,0.0025,1.0
65,65,2025/06/13 12:43:11,0.0025,2.0
66,66,2025/06/13 12:43:28,0.0025,1.0
